player_id,player_name,positions,teams,n_matches,date_of_birth,height_cm,nationality,data_source
475195,Assan OUEDRAOGO,MID,Germany,4,,,,api.fifa.com
484698,Assane DIAO,FWD,Senegal,4,,,,api.fifa.com
395050,Aubrey MODIBA,DEF,South Africa,4,,,,api.fifa.com
523173,Augustine BOAKYE,MID,Ghana,4,,,,api.fifa.com
484864,Aurele AMENDA,DEF,Switzerland,6,,,,api.fifa.com
405893,Aurelien TCHOUAMENI,MID,France,8,,,,api.fifa.com
390272,Auston TRUSTY,DEF,USA,5,,,,api.fifa.com
518264,Avazbek ULMASALIYEV,DEF,Uzbekistan,3,,,,api.fifa.com
406606,Awer MABIL,FWD,Australia,4,,,,api.fifa.com
403063,Axel Tuanzebe,DEF,Congo DR,4,,,,api.fifa.com
290821,Axel WITSEL,MID,Belgium,6,,,,api.fifa.com
430413,Ayase UEDA,FWD,Japan,4,,,,api.fifa.com
433365,Aymen DAHMEN,GK,Tunisia,3,,,,api.fifa.com
335999,Aymeric LAPORTE,DEF,Spain,8,,,,api.fifa.com
411678,Ayoub El Kaabi,FWD,Morocco,6,,,,api.fifa.com
523288,Ayoube AMAIMOUNI,FWD,Morocco,6,,,,api.fifa.com
405527,Ayumu SEKO,DEF,Japan,4,,,,api.fifa.com
485760,Ayyoub BOUADDI,MID,Morocco,6,,,,api.fifa.com
466669,Azarias LONDONO,FWD,Panama,3,,,,api.fifa.com
349342,Aziz BEHICH,DEF,Australia,4,,,,api.fifa.com
481220,Azizbek AMONOV,FWD,Uzbekistan,3,,,,api.fifa.com
479086,Azizjon GANIEV,MID,Uzbekistan,3,,,,api.fifa.com
441307,Azzedine OUNAHI,MID,Morocco,6,,,,api.fifa.com
464374,BAE Junho,MID,Korea Republic,3,,,,api.fifa.com
395205,BERNARDO SILVA,MID,Portugal,5,,,,api.fifa.com
385067,BOUALEM KHOUKHI,DEF,Qatar,3,,,,api.fifa.com
431889,BREMER,DEF,Brazil,5,,,,api.fifa.com
395206,BRUNO FERNANDES,MID,Portugal,5,,,,api.fifa.com
430605,BRUNO GUIMARAES,MID,Brazil,5,,,,api.fifa.com
367536,Baba RAHMAN,DEF,Ghana,4,,,,api.fifa.com
418781,Bamba DIENG,FWD,Senegal,4,,,,api.fifa.com
523354,Bara Sapoko NDIAYE,MID,Senegal,4,,,,api.fifa.com
484139,Baris Alper YILMAZ,FWD,Türkiye,3,,,,api.fifa.com
424081,Bart Verbruggen,GK,Netherlands,4,,,,api.fifa.com
506202,Bazoumana TOURE,FWD,Côte d'Ivoire,4,,,,api.fifa.com
475260,Behruzjon KARIMOV,DEF,Uzbekistan,3,,,,api.fifa.com
485131,Ben GANNON-DOAK,FWD,Scotland,3,,,,api.fifa.com
423575,Ben OLD,MID,New Zealand,3,,,,api.fifa.com
419577,Ben WAINE,FWD,New Zealand,3,,,,api.fifa.com
494349,Benjamin ASARE,GK,Ghana,4,,,,api.fifa.com
502946,Benjamin NYGREN,MID,Sweden,4,,,,api.fifa.com
483966,Benjamin TAHIROVIC,MID,Bosnia and Herzegovina,4,,,,api.fifa.com
503047,Besfort ZENELI,MID,Sweden,4,,,,api.fifa.com
448612,Bilal EL KHANNOUSS,MID,Morocco,6,,,,api.fifa.com
447864,Borja IGLESIAS,FWD,Spain,8,,,,api.fifa.com
385472,Botirali ERGASHEV,GK,Uzbekistan,3,,,,api.fifa.com
484860,Bradley BARCOLA,FWD,France,8,,,,api.fifa.com
419225,Bradley Cross,DEF,South Africa,4,,,,api.fifa.com
430740,Brahim DIAZ,FWD,Morocco,6,,,,api.fifa.com
406205,Braian OJEDA,MID,Paraguay,5,,,,api.fifa.com
466346,Brandley KUWAS,FWD,Curaçao,3,,,,api.fifa.com
448360,Brandon MECHELE,DEF,Belgium,6,,,,api.fifa.com
486213,Brandon THOMAS-ASANTE,FWD,Ghana,4,,,,api.fifa.com
393480,Breel EMBOLO,FWD,Switzerland,6,,,,api.fifa.com
419055,Brenden AARONSON,FWD,USA,5,,,,api.fifa.com
424051,Brian BROBBEY,FWD,Netherlands,4,,,,api.fifa.com
510989,Brian CIPENGA,FWD,Congo DR,4,,,,api.fifa.com
464533,Brian GUTIERREZ,MID,Mexico,5,,,,api.fifa.com
419132,Brian RODRIGUEZ,FWD,Uruguay,3,,,,api.fifa.com
483471,Brice SAMBA,GK,France,8,,,,api.fifa.com
448196,Bukayo SAKA,FWD,England,8,,,,api.fifa.com
308386,CASEMIRO,MID,Brazil,5,,,,api.fifa.com
