match_id,player_id,player_name,team,opponent_team,starter,minutes_played,saves,shots_faced,goals_conceded_on_pitch,clean_sheet,penalty_saves,punches,high_claims,errors,data_source
10,424081,Bart Verbruggen,Netherlands,Japan,1,91,,,2,0,,,,,api.fifa.com
10,506028,Robin ROEFS,Netherlands,Japan,0,0,,,,,,,,,api.fifa.com
10,448151,Mark FLEKKEN,Netherlands,Japan,0,0,,,,,,,,,api.fifa.com
10,405530,Zion Suzuki,Japan,Netherlands,1,91,,,2,0,,,,,api.fifa.com
10,403305,Keisuke OSAKO,Japan,Netherlands,0,0,,,,,,,,,api.fifa.com
10,511710,Tomoki HAYAKAWA,Japan,Netherlands,0,0,,,,,,,,,api.fifa.com
11,405873,Yahia Fofana,Côte d'Ivoire,Ecuador,1,90,,,0,1,,,,,api.fifa.com
11,486259,Mohamed KONE,Côte d'Ivoire,Ecuador,0,0,,,,,,,,,api.fifa.com
11,403090,Alban Lafont,Côte d'Ivoire,Ecuador,0,0,,,,,,,,,api.fifa.com
11,441236,Hernan GALINDEZ,Ecuador,Côte d'Ivoire,1,90,,,1,0,,,,,api.fifa.com
11,419002,Moises RAMIREZ,Ecuador,Côte d'Ivoire,0,0,,,,,,,,,api.fifa.com
11,448295,Gonzalo VALLE,Ecuador,Côte d'Ivoire,0,0,,,,,,,,,api.fifa.com
12,360496,Kristoffer NORDFELDT,Sweden,Tunisia,1,96,,,1,0,,,,,api.fifa.com
12,489685,Jacob WIDELL ZETTERSTROM,Sweden,Tunisia,0,0,,,,,,,,,api.fifa.com
12,483264,Viktor JOHANSSON,Sweden,Tunisia,0,0,,,,,,,,,api.fifa.com
12,520245,Mouhib CHAMAKH,Tunisia,Sweden,1,96,,,5,0,,,,,api.fifa.com
12,433365,Aymen DAHMEN,Tunisia,Sweden,0,0,,,,,,,,,api.fifa.com
12,372294,Sabri BEN HESSEN,Tunisia,Sweden,0,0,,,,,,,,,api.fifa.com
13,430753,Unai SIMON,Spain,Cabo Verde,1,93,,,0,1,,,,,api.fifa.com
13,447853,David RAYA,Spain,Cabo Verde,0,0,,,,,,,,,api.fifa.com
13,484691,Joan GARCIA,Spain,Cabo Verde,0,0,,,,,,,,,api.fifa.com
13,364752,VOZINHA,Cabo Verde,Spain,1,93,,,0,1,,,,,api.fifa.com
13,407114,MARCIO ROSA,Cabo Verde,Spain,0,0,,,,,,,,,api.fifa.com
13,406281,CJ DOS SANTOS,Cabo Verde,Spain,0,0,,,,,,,,,api.fifa.com
14,358106,Thibaut COURTOIS,Belgium,Egypt,1,90,,,1,0,,,,,api.fifa.com
14,495348,Senne LAMMENS,Belgium,Egypt,0,0,,,,,,,,,api.fifa.com
14,499803,Mike PENDERS,Belgium,Egypt,0,0,,,,,,,,,api.fifa.com
14,416906,MOSTAFA SHOUBIR,Egypt,Belgium,1,90,,,1,0,,,,,api.fifa.com
14,408948,MOHAMED ELSHENAWY,Egypt,Belgium,0,0,,,,,,,,,api.fifa.com
14,395860,MAHDY SOLIMAN,Egypt,Belgium,0,0,,,,,,,,,api.fifa.com
14,512079,MOHAMED ALAA,Egypt,Belgium,0,0,,,,,,,,,api.fifa.com
15,396885,MOHAMMED ALOWAIS,Saudi Arabia,Uruguay,1,92,,,1,0,,,,,api.fifa.com
15,419287,NAWAF ALAQIDI,Saudi Arabia,Uruguay,0,0,,,,,,,,,api.fifa.com
15,339746,AHMED ALKASSAR,Saudi Arabia,Uruguay,0,0,,,,,,,,,api.fifa.com
15,229498,Fernando MUSLERA,Uruguay,Saudi Arabia,1,92,,,1,0,,,,,api.fifa.com
15,368664,Sergio ROCHET,Uruguay,Saudi Arabia,0,0,,,,,,,,,api.fifa.com
15,402897,Santiago MELE,Uruguay,Saudi Arabia,0,0,,,,,,,,,api.fifa.com
16,380007,Alireza BEIRANVAND,IR Iran,New Zealand,1,92,,,2,0,,,,,api.fifa.com
16,448507,Payam NIAZMAND,IR Iran,New Zealand,0,0,,,,,,,,,api.fifa.com
16,314255,Hossein HOSSEINI,IR Iran,New Zealand,0,0,,,,,,,,,api.fifa.com
16,368535,Max CROCOMBE,New Zealand,IR Iran,1,92,,,2,0,,,,,api.fifa.com
16,423574,Alex PAULSEN,New Zealand,IR Iran,0,0,,,,,,,,,api.fifa.com
16,390218,Michael WOUD,New Zealand,IR Iran,0,0,,,,,,,,,api.fifa.com
17,448332,Mike MAIGNAN,France,Senegal,1,96,,,1,0,,,,,api.fifa.com
17,483471,Brice SAMBA,France,Senegal,0,0,,,,,,,,,api.fifa.com
17,464127,Robin RISSER,France,Senegal,0,0,,,,,,,,,api.fifa.com
17,433806,Edouard MENDY,Senegal,France,1,96,,,3,0,,,,,api.fifa.com
17,494277,Yehvann DIOUF,Senegal,France,0,0,,,,,,,,,api.fifa.com
17,448821,Mory DIAW,Senegal,France,0,0,,,,,,,,,api.fifa.com
18,347085,JALAL HASSAN,Iraq,Norway,1,96,,,4,0,,,,,api.fifa.com
18,368744,FAHAD TALIB,Iraq,Norway,0,0,,,,,,,,,api.fifa.com
18,433571,AHMED BASIL,Iraq,Norway,0,0,,,,,,,,,api.fifa.com
18,373235,Orjan NYLAND,Norway,Iraq,1,96,,,1,0,,,,,api.fifa.com
18,514479,Sander TANGVIK,Norway,Iraq,0,0,,,,,,,,,api.fifa.com
18,483535,Egil SELVIK,Norway,Iraq,0,0,,,,,,,,,api.fifa.com
19,308300,Emiliano MARTINEZ,Argentina,Algeria,1,90,,,0,1,,,,,api.fifa.com
19,430624,Juan MUSSO,Argentina,Algeria,0,0,,,,,,,,,api.fifa.com
19,394824,Geronimo RULLI,Argentina,Algeria,0,0,,,,,,,,,api.fifa.com
19,389879,Luca ZIDANE,Algeria,Argentina,1,90,,,3,0,,,,,api.fifa.com
19,520070,Melvin MASTIL,Algeria,Argentina,0,0,,,,,,,,,api.fifa.com
19,477817,Oussama BENBOT,Algeria,Argentina,0,0,,,,,,,,,api.fifa.com
20,371739,Alexander SCHLAGER,Austria,Jordan,1,102,,,1,0,,,,,api.fifa.com
20,520034,Florian WIEGELE,Austria,Jordan,0,0,,,,,,,,,api.fifa.com
20,441065,Patrick PENTZ,Austria,Jordan,0,0,,,,,,,,,api.fifa.com
20,397894,YAZEED ABULAILA,Jordan,Austria,1,102,,,3,0,,,,,api.fifa.com
20,483127,NOUR BANIATEYAH,Jordan,Austria,0,0,,,,,,,,,api.fifa.com
