event_id,match_id,minute,added_time,team,player_id,player_name,event_type,event_subtype,related_player_id,description,data_source
678,38,76,,New Zealand,416652,Jesse RANDALL,Substitution,substitution,405469,IN: Jesse RANDALL / OUT: Liberato CACACE,api.fifa.com
679,38,76,,New Zealand,336641,Ryan THOMAS,Substitution,substitution,390209,IN: Ryan THOMAS / OUT: Sarpreet SINGH,api.fifa.com
680,38,85,,New Zealand,440748,Francis DE VRIES,Substitution,substitution,405454,IN: Francis DE VRIES / OUT: Elijah JUST,api.fifa.com
681,38,85,,New Zealand,482775,Tyler BINDON,Substitution,substitution,331463,IN: Tyler BINDON / OUT: Tim PAYNE,api.fifa.com
682,38,41,,Egypt,344661,RAMY RABIA,Substitution,substitution,429095,IN: RAMY RABIA / OUT: HAMDY FATHY,api.fifa.com
683,38,76,,Egypt,363863,TREZEGUET,Substitution,substitution,430476,IN: TREZEGUET / OUT: OMAR MARMOUSH,api.fifa.com
684,38,76,,Egypt,495488,HAMZA ABDELKARIM,Substitution,substitution,483161,IN: HAMZA ABDELKARIM / OUT: MOSTAFA ZICO,api.fifa.com
685,38,84,,Egypt,483182,HOSSAM ABDELMAGUID,Substitution,substitution,344654,IN: HOSSAM ABDELMAGUID / OUT: MOHAMED SALAH,api.fifa.com
686,38,84,,Egypt,433461,ZIZO,Substitution,substitution,430482,IN: ZIZO / OUT: EMAM ASHOUR,api.fifa.com
687,38,90,9,Egypt,416902,MOHAMED ABDELMONEIM,Substitution,substitution,483182,IN: MOHAMED ABDELMONEIM / OUT: HOSSAM ABDELMAGUID,api.fifa.com
688,43,38,,Argentina,229397,Lionel MESSI,Goal,open_play,418963,,api.fifa.com
689,43,38,,Argentina,418963,Facundo MEDINA,Assist,assist,229397,assist attributed via sofascore.com,sofascore.com
690,43,90,5,Argentina,229397,Lionel MESSI,Goal,open_play,,,api.fifa.com
691,43,76,,Argentina,418963,Facundo MEDINA,Yellow Card,,,,api.fifa.com
692,43,90,2,Argentina,332847,Leandro PAREDES,Yellow Card,,,,api.fifa.com
693,43,40,,Austria,441067,Stefan POSCH,Yellow Card,,,,api.fifa.com
694,43,76,,Austria,385259,Konrad LAIMER,Yellow Card,,,,api.fifa.com
695,43,57,,Argentina,310116,Nicolas OTAMENDI,Substitution,substitution,431196,IN: Nicolas OTAMENDI / OUT: Cristian ROMERO,api.fifa.com
696,43,64,,Argentina,416081,Julian ALVAREZ,Substitution,substitution,418975,IN: Julian ALVAREZ / OUT: Thiago ALMADA,api.fifa.com
697,43,64,,Argentina,430631,Nico GONZALEZ,Substitution,substitution,402920,IN: Nico GONZALEZ / OUT: Lautaro MARTINEZ,api.fifa.com
698,43,82,,Argentina,332847,Leandro PAREDES,Substitution,substitution,428882,IN: Leandro PAREDES / OUT: Rodrigo DE PAUL,api.fifa.com
699,43,82,,Argentina,308322,Nicolas TAGLIAFICO,Substitution,substitution,418963,IN: Nicolas TAGLIAFICO / OUT: Facundo MEDINA,api.fifa.com
700,43,67,,Austria,463287,Marco FRIEDL,Substitution,substitution,316002,IN: Marco FRIEDL / OUT: David ALABA,api.fifa.com
701,43,67,,Austria,299200,Marko ARNAUTOVIC,Substitution,substitution,520036,IN: Marko ARNAUTOVIC / OUT: Paul WANNER,api.fifa.com
702,43,67,,Austria,463282,Alexander PRASS,Substitution,substitution,441067,IN: Alexander PRASS / OUT: Stefan POSCH,api.fifa.com
703,43,78,,Austria,463286,Patrick WIMMER,Substitution,substitution,463283,IN: Patrick WIMMER / OUT: Romano SCHMID,api.fifa.com
704,43,85,,Austria,463800,Carney CHUKWUEMEKA,Substitution,substitution,401131,IN: Carney CHUKWUEMEKA / OUT: Michael Gregoritsch,api.fifa.com
705,41,14,,France,389867,Kylian MBAPPE,Goal,open_play,485655,,api.fifa.com
706,41,14,,France,485655,Michael OLISE,Assist,assist,389867,assist attributed via sofascore.com,sofascore.com
707,41,54,,France,389867,Kylian MBAPPE,Goal,open_play,398680,,api.fifa.com
708,41,54,,France,398680,Ousmane DEMBELE,Assist,assist,389867,assist attributed via sofascore.com,sofascore.com
709,41,66,,France,398680,Ousmane DEMBELE,Goal,open_play,485655,,api.fifa.com
710,41,66,,France,485655,Michael OLISE,Assist,assist,398680,assist attributed via sofascore.com,sofascore.com
711,41,6,,Iraq,433074,AMIR ALAMMARI,Yellow Card,,,,api.fifa.com
712,41,68,,France,464114,Desire DOUE,Substitution,substitution,398680,IN: Desire DOUE / OUT: Ousmane DEMBELE,api.fifa.com
713,41,68,,France,431861,Rayan CHERKI,Substitution,substitution,485655,IN: Rayan CHERKI / OUT: Michael OLISE,api.fifa.com
714,41,83,,France,485666,Maghnes AKLIOUCHE,Substitution,substitution,484860,IN: Maghnes AKLIOUCHE / OUT: Bradley BARCOLA,api.fifa.com
715,41,83,,France,464055,Malo GUSTO,Substitution,substitution,430707,IN: Malo GUSTO / OUT: Jules KOUNDE,api.fifa.com
716,41,90,1,France,403109,Marcus THURAM,Substitution,substitution,389867,IN: Marcus THURAM / OUT: Kylian MBAPPE,api.fifa.com
717,41,26,,Iraq,436628,ALI ALHAMADI,Substitution,substitution,395186,IN: ALI ALHAMADI / OUT: AYMEN HUSSEIN,api.fifa.com
718,41,60,,Iraq,396158,REBIN SULAKA,Substitution,substitution,434025,IN: REBIN SULAKA / OUT: ZAID TAHSEEN,api.fifa.com
719,41,60,,Iraq,464458,YOUSSEF AMYN,Substitution,substitution,484270,IN: YOUSSEF AMYN / OUT: ZAID ISMAEL,api.fifa.com
720,41,68,,Iraq,484262,MARKO FARJI,Substitution,substitution,433585,IN: MARKO FARJI / OUT: IBRAHIM BAYESH,api.fifa.com
721,41,68,,Iraq,493983,AIMAR SHER,Substitution,substitution,433074,IN: AIMAR SHER / OUT: AMIR ALAMMARI,api.fifa.com
722,42,43,,Norway,494625,Marcus HOLMGREN PEDERSEN,Goal,open_play,,,api.fifa.com
723,42,48,,Norway,419652,Erling HAALAND,Goal,open_play,400716,,api.fifa.com
724,42,48,,Norway,400716,Martin ODEGAARD,Assist,assist,419652,assist attributed via sofascore.com,sofascore.com
725,42,58,,Norway,419652,Erling HAALAND,Goal,open_play,483442,,api.fifa.com
726,42,58,,Norway,483442,Patrick BERG,Assist,assist,419652,assist attributed via sofascore.com,sofascore.com
727,42,53,,Senegal,401889,Ismaila SARR,Goal,open_play,353790,,api.fifa.com
728,42,53,,Senegal,353790,Sadio MANE,Assist,assist,401889,assist attributed via sofascore.com,sofascore.com
729,42,90,3,Senegal,401889,Ismaila SARR,Goal,open_play,,,api.fifa.com
730,42,13,,Norway,494625,Marcus HOLMGREN PEDERSEN,Substitution,substitution,483496,IN: Marcus HOLMGREN PEDERSEN / OUT: Julian RYERSON,api.fifa.com
731,42,,,Norway,483442,Patrick BERG,Substitution,substitution,483497,IN: Patrick BERG / OUT: Fredrik AURSNES,api.fifa.com
732,42,71,,Norway,494626,Andreas SCHJELDERUP,Substitution,substitution,483448,IN: Andreas SCHJELDERUP / OUT: Antonio NUSA,api.fifa.com
733,42,84,,Norway,419672,Leo OSTIGARD,Substitution,substitution,491244,IN: Leo OSTIGARD / OUT: Torbjorn HEGGEM,api.fifa.com
734,42,84,,Norway,477470,Oscar BOBB,Substitution,substitution,398588,IN: Oscar BOBB / OUT: Alexander SORLOTH,api.fifa.com
735,42,54,,Senegal,496358,Ibrahim MBAYE,Substitution,substitution,431788,IN: Ibrahim MBAYE / OUT: Pape GUEYE,api.fifa.com
736,42,54,,Senegal,430671,Ismail JAKOBS,Substitution,substitution,464865,IN: Ismail JAKOBS / OUT: El Hadji Malick DIOUF,api.fifa.com
737,42,63,,Senegal,448821,Mory DIAW,Substitution,substitution,433806,IN: Mory DIAW / OUT: Edouard MENDY,api.fifa.com
738,42,63,,Senegal,448825,Pathe CISS,Substitution,substitution,464842,IN: Pathe CISS / OUT: Lamine CAMARA,api.fifa.com
739,42,72,,Senegal,418798,Pape Matar SARR,Substitution,substitution,339820,IN: Pape Matar SARR / OUT: Kalidou KOULIBALY,api.fifa.com
740,44,36,,Jordan,433534,NIZAR ALRASHDAN,Goal,open_play,431211,,api.fifa.com
741,44,36,,Jordan,431211,MOUSA ALTAMARI,Assist,assist,433534,assist attributed via sofascore.com,sofascore.com
742,44,69,,Algeria,520071,Nadhir BENBOUALI,Goal,open_play,379942,,api.fifa.com
743,44,69,,Algeria,379942,Riyad Mahrez,Assist,assist,520071,assist attributed via sofascore.com,sofascore.com
744,44,82,,Algeria,405877,Amine GOUIRI,Goal,open_play,,,api.fifa.com
745,44,64,,Jordan,489550,HUSAM ABUDAHAB,Yellow Card,,,,api.fifa.com
746,44,44,,Algeria,433679,Ramiz ZERROUKI,Yellow Card,,,,api.fifa.com
747,44,76,,Jordan,511875,ODEH FAKHOURY,Substitution,substitution,396950,IN: ODEH FAKHOURY / OUT: MAHMOUD ALMARDI,api.fifa.com
748,44,84,,Jordan,498514,ALI AZAIZEH,Substitution,substitution,431211,IN: ALI AZAIZEH / OUT: MOUSA ALTAMARI,api.fifa.com
749,44,84,,Jordan,433526,MOHAMMAD ABUHASHEESH,Substitution,substitution,479389,IN: MOHAMMAD ABUHASHEESH / OUT: MOHANNAD ABUTAHA,api.fifa.com
750,44,90,1,Jordan,431208,MOHAMMAD ABUZRAIQ,Substitution,substitution,431212,IN: MOHAMMAD ABUZRAIQ / OUT: ALI OLWAN,api.fifa.com
