player_id,player_name,position_group,similar_player_id,similar_player_name,similarity
15,Israel Reyes,DF,1105,Sherzod Nasrullaev,0.9999999999999999
15,Israel Reyes,DF,1097,Rustamjon Ashurmatov,0.9999999999999999
16,Julián Andrés Quinones,FW,844,Bradley Jean-Manuel Essolisa Barcola,0.9992940713833762
16,Julián Andrés Quinones,FW,9,Raúl Alonso Jimenez,0.9717296239802676
16,Julián Andrés Quinones,FW,1139,Jaminton Leandro Campaz,0.9660088218019114
16,Julián Andrés Quinones,FW,113,Cyle Christopher Larin,0.9624116280266939
16,Julián Andrés Quinones,FW,483,Amad Diallo,0.9540692548020769
16,Julián Andrés Quinones,FW,166,Khalid Hassan Alhaydos,0.953510592737391
16,Julián Andrés Quinones,FW,155,Jovo Lukic,0.9440925739753535
16,Julián Andrés Quinones,FW,218,Neymar Neymar Jr,0.9401030468181747
16,Julián Andrés Quinones,FW,583,Anthony David Junior Elanga,0.9399355582307773
16,Julián Andrés Quinones,FW,995,Marko Arnautovic,0.9393965648931202
17,Orbelín Pineda,MF,1178,Mateo Kovacic,1.0
17,Orbelín Pineda,MF,1099,Otabek Shukurov,1.0
17,Orbelín Pineda,MF,144,Ivan Sunjic,1.0
17,Orbelín Pineda,MF,293,Mc,1.0
17,Orbelín Pineda,MF,270,Jean Ricner Bellegarde,1.0
17,Orbelín Pineda,MF,197,Djibril Ibrahima Sow,1.0
17,Orbelín Pineda,MF,305,Lewis Ferguson,1.0
17,Orbelín Pineda,MF,1072,Ngal’ayel Mukau,1.0
17,Orbelín Pineda,MF,449,Juninho Gracielo Bacuna,1.0
17,Orbelín Pineda,MF,452,Leandro Jones Johan Bacuna,1.0
18,Obed Goméz Vargas,MF,72,Hyunjun Yang,1.0
18,Obed Goméz Vargas,MF,69,Junho Bae,1.0
18,Obed Goméz Vargas,MF,77,Jisung Eom,1.0
18,Obed Goméz Vargas,MF,76,Jingyu Kim,1.0
18,Obed Goméz Vargas,MF,78,Donggyeong Lee,1.0
18,Obed Goméz Vargas,MF,103,Hugo Sochurek,1.0
18,Obed Goméz Vargas,MF,1160,Kobbie Boateng Mainoo,1.0
18,Obed Goméz Vargas,MF,1158,Jordan Brian Henderson,1.0
18,Obed Goméz Vargas,MF,125,Jonathan Osorio,1.0
18,Obed Goméz Vargas,MF,1177,Nikola Moro,1.0
19,Gilberto Rafael Mora,MF,1134,Jefferson Andrés Lerma,0.9999999999999998
19,Gilberto Rafael Mora,MF,240,Ayyoub Bouaddi,0.9999999999999998
19,Gilberto Rafael Mora,MF,918,Sander Gard Bolin Berge,0.9999999999999998
19,Gilberto Rafael Mora,MF,320,Mc,0.9999999999999998
19,Gilberto Rafael Mora,MF,744,Rodrigo Rodri,0.9999999999999998
19,Gilberto Rafael Mora,MF,838,Emmanuel Boris Kone,0.9999999999999998
19,Gilberto Rafael Mora,MF,257,Bilal El Khannouss,0.9987000498249574
19,Gilberto Rafael Mora,MF,1129,Jhon Adolfo Arias,0.9985909967528839
19,Gilberto Rafael Mora,MF,213,Henrique,0.9984082204887947
19,Gilberto Rafael Mora,MF,748,Pedro Pedri,0.9966353324159554
20,Mateo Chavez,DF,718,Finn Surman,1.0
20,Mateo Chavez,DF,767,CABRALSidny Sidny Lopes,0.9999271380036141
20,Mateo Chavez,DF,784,Ali Abdulelah Alamri,0.9997467711524922
20,Mateo Chavez,DF,248,Issa Laye Lucas Jean Diop,0.9997430360742955
20,Mateo Chavez,DF,1120,Daniel Munoz,0.9979349007900439
20,Mateo Chavez,DF,652,Ahmed Ibrahim Yasser,0.9946208545856926
20,Mateo Chavez,DF,602,Omar Rekik,0.9834669777293454
20,Mateo Chavez,DF,1219,Derrick Luckassen,0.9834669777293454
20,Mateo Chavez,DF,926,Marcus Holmgren Holmgren Pedersen,0.9833333664202227
20,Mateo Chavez,DF,431,Nico Cédric Schlotterbeck,0.9831668670148181
21,César Saúl Huerta,FW,1246,Azarías Emmanuel Londono,0.9999999999999997
21,César Saúl Huerta,FW,10,Ernesto Alexis Vega,0.9999999999999997
21,César Saúl Huerta,FW,14,Armando Gonzalez,0.9999999999999997
21,César Saúl Huerta,FW,97,Tomáš Chory,0.9999999999999997
21,César Saúl Huerta,FW,91,Mojmír Chytil,0.9999999999999997
21,César Saúl Huerta,FW,139,Samed Bazdar,0.9999999999999997
21,César Saúl Huerta,FW,130,Jayden Nelson,0.9999999999999997
21,César Saúl Huerta,FW,1144,Carlos Andrés Gomez,0.9999999999999997
21,César Saúl Huerta,FW,1113,Igor Sergeev,0.9999999999999997
21,César Saúl Huerta,FW,1089,Simon Bokote Banza,0.9999999999999997
22,Guillermo Martinez,FW,11,Santiago Tomás Gimenez,1.0000000000000002
22,Guillermo Martinez,FW,141,Edin Dzeko,1.0000000000000002
22,Guillermo Martinez,FW,167,Hassan Akram,1.0000000000000002
22,Guillermo Martinez,FW,1083,Cedric Bakambu,1.0000000000000002
22,Guillermo Martinez,FW,275,Ruben Fritzner Providence,1.0000000000000002
22,Guillermo Martinez,FW,954,Nicolas Paz,1.0000000000000002
22,Guillermo Martinez,FW,936,Julian Ryerson,1.0000000000000002
22,Guillermo Martinez,FW,952,Thiago Ezequiel Almada,1.0000000000000002
22,Guillermo Martinez,FW,477,Ange-Yoan Laurent Bonny,1.0000000000000002
22,Guillermo Martinez,FW,451,Jürgen Leonardo Locadia,1.0000000000000002
23,Jesús Daniel Gallardo,DF,1169,Tehuti Djed-Hotep Spence,1.0000000000000002
23,Jesús Daniel Gallardo,DF,106,Alistair William Johnston,1.0000000000000002
23,Jesús Daniel Gallardo,DF,1147,Nico Oreilly,1.0000000000000002
23,Jesús Daniel Gallardo,DF,1121,Jhon Janer Lucumi,1.0000000000000002
23,Jesús Daniel Gallardo,DF,212,MARQUINHOSMarcos,1.0000000000000002
23,Jesús Daniel Gallardo,DF,927,Torbjørn Lysaker Heggem,1.0000000000000002
23,Jesús Daniel Gallardo,DF,962,Nahuel Molina,1.0000000000000002
23,Jesús Daniel Gallardo,DF,237,Noussair Mazraoui,1.0000000000000002
23,Jesús Daniel Gallardo,DF,342,Juan Jose Caceres,1.0000000000000002
23,Jesús Daniel Gallardo,DF,858,Maxence Guy Lacroix,1.0000000000000002
24,Luis Gerardo Chavez,MF,1178,Mateo Kovacic,1.0
24,Luis Gerardo Chavez,MF,1099,Otabek Shukurov,1.0
24,Luis Gerardo Chavez,MF,144,Ivan Sunjic,1.0
24,Luis Gerardo Chavez,MF,293,Mc,1.0
24,Luis Gerardo Chavez,MF,270,Jean Ricner Bellegarde,1.0
24,Luis Gerardo Chavez,MF,197,Djibril Ibrahima Sow,1.0
24,Luis Gerardo Chavez,MF,305,Lewis Ferguson,1.0
24,Luis Gerardo Chavez,MF,1072,Ngal’ayel Mukau,1.0
