player_id,player_name,team_id,position,position_group,anomaly_score,is_anomaly
635,Jeremy Baffour Doku,25,FWD,FW,0.43424794831351987,False
528,Ryan Jiro Gravenberch,21,MID,MF,0.4341724111690878,False
79,Mat ě j Kovar,4,GK,GK,0.432334403857781,False
995,Marko Arnautovic,39,FWD,FW,0.4321521353526209,False
1058,Pedro Pedro Neto,41,FWD,FW,0.42978311738213687,False
1002,Saša Kalajdzic,39,FWD,FW,0.429586408920885,False
135,Sead Kolasinac,6,DEF,DF,0.4294597133603818,False
1067,Lionel Nzau Mpasi,42,GK,GK,0.4292405531127328,False
1132,Gustavo Adolfo Puerta,44,DEF,DF,0.42875314534875086,False
314,Sergiño Gianni Dest,13,DEF,DF,0.42806578503149784,False
915,David Møller Moller Wolfe,36,DEF,DF,0.42806578503149784,False
439,Felix Kalu Nmecha,17,MID,MF,0.4265834354687506,False
877,Moussa Niakhate,34,DEF,DF,0.42653400682245046,False
639,Thomas Andre Meunier,25,DEF,DF,0.42600600567190927,False
1184,Ivan Perisic,46,FWD,FW,0.4249579175402318,False
589,Viktor Einar Gyokeres,23,FWD,FW,0.4249579175402318,False
143,Ivan Basic,6,MID,MF,0.42423997988424034,False
1244,Orlando Mosquera,48,GK,GK,0.42313247700701523,False
113,Cyle Christopher Larin,5,FWD,FW,0.42280910826044943,False
999,Michael Gregoritsch,39,FWD,FW,0.42239718609672927,False
607,Hazem Mastouri,24,FWD,FW,0.4221362176908499,False
1047,Ronaldo Cristiano Ronaldo,41,FWD,FW,0.42121086068480923,False
780,Sandro Helio Varela,30,MID,MF,0.42094115698912143,False
164,Junior Edmilson,7,FWD,FW,0.42087947998018554,False
479,Yan Diomande,19,FWD,FW,0.42087696710480804,False
319,Giovanni Alejandro Reyna,13,MID,MF,0.4208453995295399,False
423,Kai Lukas Havertz,17,FWD,FW,0.42040249010320835,False
1086,Yoane Wissa,42,FWD,FW,0.42024326562113246,False
868,Sadio Mane,34,FWD,FW,0.4202390764795546,False
929,Thelonious Gerard Aasgaard,36,MID,MF,0.41910157988286845,False
213,Henrique,9,MID,MF,0.41619063985699006,False
388,Paul Michael Junior Okon-Engstler,15,MID,MF,0.41533068084421043,False
1129,Jhon Adolfo Arias,44,MID,MF,0.4152933203105225,False
487,Nicolas Pepe,19,FWD,FW,0.41454883740660453,False
361,Matias Galarza,14,MID,MF,0.41358372820145717,False
58,Inbeom Hwang,3,MID,MF,0.41326219256386454,False
483,Amad Diallo,19,FWD,FW,0.41312949164282875,False
1098,Akmal Mozgovoy,43,MID,MF,0.410057284170785,False
322,Christian Mate Pulisic,13,FWD,FW,0.41002918297268376,False
869,Nicolas Jackson,34,FWD,FW,0.40996368188319454,False
570,Kaishu Sano,22,MID,MF,0.4092163630568585,False
1187,Petar Sucic,46,MID,MF,0.4076500064118448,False
234,Vitor Rayan,9,FWD,FW,0.40741122200363705,False
513,Gonzalo Jordy Plata,20,FWD,FW,0.40635675273739125,False
658,Ashour Metwaly Emam,26,MID,MF,0.40621412506530763,False
583,Anthony David Junior Elanga,23,FWD,FW,0.4055582909146286,False
228,Lucas Lucas Paqueta,9,MID,MF,0.4041812684428141,False
992,Xaver Schlager,39,MID,MF,0.40418080690900676,False
1049,RAMOSGonçalo Goncalo,41,FWD,FW,0.4033907074009268,False
1143,Luis Javier Suarez,44,FWD,FW,0.4026712824778335,False
561,Daichi Kamada,22,MID,MF,0.40259159965959546,False
590,Yasin Ayari,23,MID,MF,0.401338958575204,False
1196,Petar Musa,46,FWD,FW,0.4004768599856636,False
70,Hyeongyu Oh,3,FWD,FW,0.4000319530743104,False
878,Ibrahim Mbaye,34,FWD,FW,0.39965275933460936,False
349,Mauricio Mauricio,14,MID,MF,0.3992290091758874,False
