match_id;player_id;player_name;team;opponent_team;starter;minutes_played;saves;shots_faced;goals_conceded_on_pitch;clean_sheet;penalty_saves;punches;data_source
44;1036;ABDALLAH ALFAKHORI;Jordan;Algeria;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
44;985;Luca ZIDANE;Algeria;Jordan;1;91;3;0;1;0;0;0;api.fifa.com+espn.com
44;963;Melvin MASTIL;Algeria;Jordan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
44;978;Oussama BENBOT;Algeria;Jordan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
45;1041;DIOGO COSTA;Portugal;Uzbekistan;1;92;2;0;0;1;0;0;api.fifa.com+espn.com
45;1052;JOSE SA;Portugal;Uzbekistan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
45;1062;RUI SILVA;Portugal;Uzbekistan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
45;1104;Abduvohid NEMATOV;Uzbekistan;Portugal;1;92;4;0;5;0;0;0;api.fifa.com+espn.com
45;1093;Utkir YUSUPOV;Uzbekistan;Portugal;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
45;1108;Botirali ERGASHEV;Uzbekistan;Portugal;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
47;1145;Jordan PICKFORD;England;Ghana;1;95;0;0;0;1;0;0;api.fifa.com+espn.com
47;1157;Dean Henderson;England;Ghana;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
47;1167;James TRAFFORD;England;Ghana;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
47;1212;Benjamin ASARE;Ghana;England;1;95;3;0;0;1;0;0;api.fifa.com+espn.com
47;1197;Lawrence Ati ZIGI;Ghana;England;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
47;1208;Joseph ANANG;Ghana;England;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
48;1244;Orlando MOSQUERA;Panama;Croatia;1;92;1;0;1;0;0;0;api.fifa.com+espn.com
48;1223;Luis MEJIA;Panama;Croatia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
48;1234;Cesar SAMUDIO;Panama;Croatia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
48;1171;Dominik LIVAKOVIC;Croatia;Panama;1;92;1;0;0;1;0;0;api.fifa.com+espn.com
48;1182;Ivor PANDUR;Croatia;Panama;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
48;1193;Dominik KOTARSKI;Croatia;Panama;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
46;1130;Camilo VARGAS;Colombia;Congo DR;1;94;1;0;0;1;0;0;api.fifa.com+espn.com
46;1119;David OSPINA;Colombia;Congo DR;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
46;1142;Alvaro MONTERO;Colombia;Congo DR;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
46;1067;Lionel MPASI;Congo DR;Colombia;1;94;8;0;1;0;0;0;api.fifa.com+espn.com
46;1082;Timothy FAYULU;Congo DR;Colombia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
46;1087;Matthieu EPOLO;Congo DR;Colombia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
52;131;Nikola VASILJ;Bosnia and Herzegovina;Qatar;1;90;2;0;1;0;0;0;api.fifa.com+espn.com
52;142;Mladen JURKAS;Bosnia and Herzegovina;Qatar;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
52;152;Martin ZLOMISLIC;Bosnia and Herzegovina;Qatar;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
52;157;MAHMOUD ABUNADA;Qatar;Bosnia and Herzegovina;1;90;3;0;3;0;0;0;api.fifa.com+espn.com
52;177;SALAH ZAKARIA;Qatar;Bosnia and Herzegovina;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
52;178;MESHAAL BARSHAM;Qatar;Bosnia and Herzegovina;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
51;183;Gregor KOBEL;Switzerland;Canada;1;90;6;0;1;0;0;0;api.fifa.com+espn.com
51;194;Yvon MVOGO;Switzerland;Canada;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
51;203;Marvin KELLER;Switzerland;Canada;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
51;120;Maxime CREPEAU;Canada;Switzerland;1;90;2;0;2;0;0;0;api.fifa.com+espn.com
51;105;Dayne ST. CLAIR;Canada;Switzerland;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
51;122;Owen GOODMAN;Canada;Switzerland;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
54;235;Yassine BOUNOU;Morocco;Haiti;1;93;1;0;2;0;0;0;api.fifa.com+espn.com
54;246;Munir EL KAJOUI;Morocco;Haiti;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
54;256;Ahmed Reda TAGNAOUTI;Morocco;Haiti;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
54;261;Johny Placide;Haiti;Morocco;1;93;8;0;4;0;0;0;api.fifa.com+espn.com
54;272;Alexandre PIERRE;Haiti;Morocco;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
54;283;Josue DUVERGER;Haiti;Morocco;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
53;287;Angus Gunn;Scotland;Brazil;1;91;5;0;3;0;0;0;api.fifa.com+espn.com
53;298;Liam KELLY;Scotland;Brazil;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
53;307;Craig GORDON;Scotland;Brazil;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
53;209;ALISSON;Brazil;Scotland;1;91;5;0;0;1;0;0;api.fifa.com+espn.com
53;220;WEVERTON;Brazil;Scotland;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
53;231;EDERSON;Brazil;Scotland;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
50;27;Ronwen WILLIAMS;South Africa;Korea Republic;1;90;2;0;0;1;0;0;api.fifa.com+espn.com
50;42;Sipho CHAINE;South Africa;Korea Republic;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
50;48;Ricardo GOSS;South Africa;Korea Republic;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
50;53;KIM Seunggyu;Korea Republic;South Africa;1;90;3;0;1;0;0;0;api.fifa.com+espn.com
50;64;SONG Bumkeun;Korea Republic;South Africa;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
50;73;JO Hyeonwoo;Korea Republic;South Africa;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
49;79;Matej KOVAR;Czechia;Mexico;1;94;2;0;3;0;0;0;api.fifa.com+espn.com
49;94;Jindrich STANEK;Czechia;Mexico;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
49;101;Lukas HORNICEK;Czechia;Mexico;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
49;1;Raul RANGEL;Mexico;Czechia;1;78;1;0;0;1;0;0;api.fifa.com+espn.com
