player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct,cluster,cluster_label,saves,shots_faced,conceded,clean_sheets,starts,save_pct,saves_p90
1129,Jhon Adolfo Arias,MID,Colombia,Colombia,5,384,1.0,0.234,0.0,0.0,9.0,2.109,4.0,0.938,240.0,56.25,227.0,53.203,6.0,1.406,23.0,5.391,3.0,0.703,2.0,0.469,8.0,1.875,18.0,4.219,2.0,0.469,1.0,0.234,21.0,4.922,5.0,1.172,2.0,0.469,0.0,0.0,94.58,3,Box-to-Box / All-rounder,,,,,,,
3,César Jasib Montes,DEF,Mexico,Mexico,4,383,0.0,0.0,0.0,0.0,1.0,0.235,1.0,0.235,170.0,39.948,156.0,36.658,2.0,0.47,3.0,0.705,1.0,0.235,31.0,7.285,4.0,0.94,18.0,4.23,10.0,2.35,10.0,2.35,1.0,0.235,4.0,0.94,3.0,0.705,0.0,0.0,91.76,1,Ball Progressor,,,,,,,
315,Christopher Jeffrey Richards,DEF,USA,USA,4,382,0.0,0.0,0.0,0.0,1.0,0.236,0.0,0.0,291.0,68.56,277.0,65.262,0.0,0.0,7.0,1.649,3.0,0.707,27.0,6.361,13.0,3.063,29.0,6.832,19.0,4.476,17.0,4.005,2.0,0.471,8.0,1.885,3.0,0.707,0.0,0.0,95.19,1,Ball Progressor,,,,,,,
325,Timothy Michael Ream,DEF,USA,USA,4,382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,70.209,281.0,66.204,0.0,0.0,5.0,1.178,6.0,1.414,26.0,6.126,11.0,2.592,18.0,4.241,4.0,0.942,4.0,0.942,5.0,1.178,0.0,0.0,2.0,0.471,0.0,0.0,94.3,1,Ball Progressor,,,,,,,
1063,Vitor Vitinha,MID,Portugal,Portugal,5,381,0.0,0.0,1.0,0.236,4.0,0.945,0.0,0.0,403.0,95.197,379.0,89.528,0.0,0.0,12.0,2.835,6.0,1.417,3.0,0.709,1.0,0.236,6.0,1.417,1.0,0.236,1.0,0.236,15.0,3.543,4.0,0.945,5.0,1.181,0.0,0.0,94.04,1,Ball Progressor,,,,,,,
121,Tajon Trevor Buchanan,FWD,Canada,Canada,5,380,0.0,0.0,0.0,0.0,6.0,1.421,3.0,0.711,95.0,22.5,76.0,18.0,17.0,4.026,20.0,4.737,1.0,0.237,2.0,0.474,10.0,2.368,8.0,1.895,1.0,0.237,1.0,0.237,23.0,5.447,5.0,1.184,8.0,1.895,2.0,0.474,80.0,2,Playmaker / Chance Creator,,,,,,,
1043,Rúben Ruben Dias,DEF,Portugal,Portugal,4,380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,58.974,233.0,55.184,0.0,0.0,7.0,1.658,3.0,0.711,23.0,5.447,9.0,2.132,26.0,6.158,16.0,3.789,14.0,3.316,2.0,0.474,6.0,1.421,3.0,0.711,0.0,0.0,93.57,1,Ball Progressor,,,,,,,
5,Johan Felipe Vasquez,DEF,Mexico,Mexico,4,379,0.0,0.0,0.0,0.0,1.0,0.237,0.0,0.0,237.0,56.28,221.0,52.48,0.0,0.0,6.0,1.425,1.0,0.237,25.0,5.937,6.0,1.425,18.0,4.274,13.0,3.087,12.0,2.85,6.0,1.425,0.0,0.0,2.0,0.475,0.0,0.0,93.25,1,Ball Progressor,,,,,,,
667,Mostafa Ahmed Mohanad Lashin,MID,Egypt,Egypt,4,379,0.0,0.0,0.0,0.0,2.0,0.475,0.0,0.0,191.0,45.356,169.0,40.132,2.0,0.475,33.0,7.836,2.0,0.475,6.0,1.425,20.0,4.749,22.0,5.224,5.0,1.187,5.0,1.187,4.0,0.95,5.0,1.187,3.0,0.712,0.0,0.0,88.48,3,Box-to-Box / All-rounder,,,,,,,
930,Antonio Eromonsele Nordby Nusa,FWD,Norway,Norway,6,379,1.0,0.237,0.0,0.0,6.0,1.425,2.0,0.475,83.0,19.71,62.0,14.723,7.0,1.662,7.0,1.662,1.0,0.237,4.0,0.95,5.0,1.187,4.0,0.95,1.0,0.237,1.0,0.237,38.0,9.024,1.0,0.237,5.0,1.187,2.0,0.475,74.7,2,Playmaker / Chance Creator,,,,,,,
