player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct,PC1,PC2,PC3,PC4
1105,Sherzod Nasrullaev,DEF,Uzbekistan,Uzbekistan,3,282,0,0.0,0,0.0,1,0.319,1,0.319,48,15.319,35,11.17,3,0.957,6,1.915,2,0.638,5,1.596,4,1.277,10,3.191,3,0.957,3,0.957,4,1.277,3,0.957,2,0.638,0,0.0,72.92,-0.43467126675184964,-1.4987637708550365,0.9071140338242701,0.9424167256625658
556,Ritsu Doan,MID,Japan,Japan,4,281,0,0.0,0,0.0,1,0.32,0,0.0,105,33.63,89,28.505,5,1.601,7,2.242,1,0.32,7,2.242,10,3.203,8,2.562,2,0.641,2,0.641,4,1.281,6,1.922,4,1.281,0,0.0,84.76,0.212163277873441,-0.6210374597953547,-0.3088159046058736,1.4214818787088221
663,Mohamed Aboelfetouh Ahmed Fatouh,DEF,Egypt,Egypt,3,281,0,0.0,0,0.0,1,0.32,1,0.32,182,58.292,163,52.206,7,2.242,12,3.843,2,0.641,8,2.562,3,0.961,14,4.484,3,0.961,3,0.961,4,1.281,2,0.641,3,0.961,0,0.0,89.56,1.187262797904554,-0.36010006593209126,-0.8961648817244395,-0.7188563344762474
996,David Alaba,DEF,Austria,Austria,4,281,0,0.0,1,0.32,2,0.641,0,0.0,222,71.103,198,63.416,1,0.32,4,1.281,2,0.641,14,4.484,6,1.922,15,4.804,4,1.281,3,0.961,3,0.961,2,0.641,0,0.0,0,0.0,89.19,2.2006047388373124,-0.34262287081302245,-0.6112851281007593,-2.108431855365009
1244,Orlando Mosquera,GK,Panama,Panama,3,281,0,0.0,0,0.0,0,0.0,0,0.0,103,32.989,74,23.701,0,0.0,0,0.0,0,0.0,1,0.32,0,0.0,18,5.765,1,0.32,1,0.32,0,0.0,0,0.0,0,0.0,0,0.0,71.84,0.4160942483957551,-3.276963568089647,0.9828521679115123,-0.8903215577516957
1225,Jose Angel Cordoba,DEF,Panama,Panama,3,281,0,0.0,0,0.0,0,0.0,0,0.0,183,58.612,169,54.128,1,0.32,9,2.883,7,2.242,18,5.765,3,0.961,17,5.445,3,0.961,2,0.641,2,0.641,5,1.601,1,0.32,0,0.0,92.35,2.996064307903048,-0.03723570377073053,-0.6215800269192665,-0.5479627433801242
1238,Andres Alberto Andrade,DEF,Panama,Panama,3,281,0,0.0,0,0.0,0,0.0,0,0.0,178,57.011,147,47.082,8,2.562,13,4.164,6,1.922,15,4.804,11,3.523,29,9.288,11,3.523,11,3.523,0,0.0,4,1.281,0,0.0,0,0.0,82.58,4.029783528389575,2.105413469087201,0.6560115393166692,0.21644132476722397
1245,Michael Amir Murillo,DEF,Panama,Panama,3,281,0,0.0,0,0.0,5,1.601,1,0.32,112,35.872,88,28.185,8,2.562,11,3.523,0,0.0,9,2.883,6,1.922,9,2.883,6,1.922,6,1.922,14,4.484,1,0.32,7,2.242,1,0.32,78.57,-0.9699024217263614,0.6309767395798571,-0.036253711762519535,0.45322614705983005
79,Mat ě j Kovar,GK,Czechia,Czechia,3,280,0,0.0,0,0.0,0,0.0,0,0.0,97,31.179,62,19.929,0,0.0,0,0.0,0,0.0,1,0.321,0,0.0,18,5.786,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,63.92,0.2764572779085216,-3.5226933366075555,0.8526734539725809,-0.7384079742535871
82,Robin Hranac,DEF,Czechia,Czechia,3,280,0,0.0,0,0.0,0,0.0,0,0.0,116,37.286,104,33.429,1,0.321,6,1.929,3,0.964,8,2.571,5,1.607,10,3.214,6,1.929,6,1.929,0,0.0,6,1.929,0,0.0,0,0.0,89.66,1.3398136138375338,-0.45672392620983276,1.2119731971008647,0.42550647991365886
83,Vladimír Coufal,DEF,Czechia,Czechia,3,280,0,0.0,1,0.321,1,0.321,0,0.0,110,35.357,79,25.393,20,6.429,6,1.929,4,1.286,4,1.286,2,0.643,7,2.25,3,0.964,3,0.964,3,0.964,4,1.286,3,0.964,1,0.321,71.82,-0.7242074127162985,-0.5649426039151904,-0.9299645565069496,0.013749917475994777
85,Ladislav Krejci,DEF,Czechia,Czechia,3,280,1,0.321,0,0.0,5,1.607,1,0.321,160,51.429,135,43.393,2,0.643,13,4.179,3,0.964,13,4.179,4,1.286,16,5.143,14,4.5,12,3.857,1,0.321,6,1.929,2,0.643,0,0.0,84.38,1.451049146393514,2.691306538232049,1.8734663778532508,-0.4556961524742622
1034,Mahmoud Saleh Mohannad Abutaha,MID,Jordan,Jordan,3,280,0,0.0,0,0.0,1,0.321,0,0.0,87,27.964,59,18.964,6,1.929,17,5.464,8,2.571,11,3.536,12,3.857,21,6.75,3,0.964,2,0.643,9,2.893,2,0.643,1,0.321,0,0.0,67.82,2.0211196152610493,0.2804793162509334,-1.0409994810387748,1.8702844134066217
413,Ugurcan Cakir,GK,Türkiye,Türkiye,3,279,0,0.0,0,0.0,0,0.0,0,0.0,98,31.613,77,24.839,0,0.0,0,0.0,0,0.0,4,1.29,0,0.0,9,2.903,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,78.57,0.01921167096090061,-3.498475290541983,0.8519258054096626,-0.8319053219715843
