player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct
1089,Simon Bokote Banza,FWD,Congo DR,Congo DR,2,44,0,0.0,0,0.0,0,0.0,0,0.0,6,12.273,4,8.182,0,0.0,0,0.0,0,0.0,0,0.0,1,2.045,1,2.045,4,8.182,4,8.182,0,0.0,1,2.045,0,0.0,0,0.0,66.67
1232,Ismael Diaz,MID,Panama,Panama,2,44,0,0.0,0,0.0,6,12.273,2,4.091,15,30.682,13,26.591,0,0.0,1,2.045,0,0.0,2,4.091,3,6.136,2,4.091,0,0.0,0,0.0,2,4.091,0,0.0,0,0.0,2,4.091,86.67
1096,Farrukh Sayfiev,DEF,Uzbekistan,Uzbekistan,1,44,0,0.0,0,0.0,0,0.0,0,0.0,14,28.636,12,24.545,1,2.045,1,2.045,0,0.0,1,2.045,0,0.0,2,4.091,0,0.0,0,0.0,2,4.091,0,0.0,2,4.091,0,0.0,85.71
886,Ghareeb Solaka Rebin Sulaka,DEF,Iraq,Iraq,2,44,0,0.0,0,0.0,1,2.045,0,0.0,29,59.318,23,47.045,0,0.0,0,0.0,0,0.0,3,6.136,4,8.182,3,6.136,0,0.0,0,0.0,0,0.0,1,2.045,0,0.0,0,0.0,79.31
162,Hatim Abdulaziz Hatem,MID,Qatar,Qatar,1,44,0,0.0,0,0.0,0,0.0,0,0.0,32,65.455,26,53.182,0,0.0,2,4.091,0,0.0,1,2.045,2,4.091,2,4.091,1,2.045,1,2.045,0,0.0,1,2.045,0,0.0,0,0.0,81.25
75,Jens Castrop,DEF,Korea Republic,South Korea,1,44,0,0.0,0,0.0,0,0.0,0,0.0,30,61.364,27,55.227,4,8.182,2,4.091,0,0.0,3,6.136,1,2.045,2,4.091,1,2.045,1,2.045,4,8.182,3,6.136,0,0.0,0,0.0,90.0
432,Angelo Nicolas Stiller,MID,Germany,Germany,1,44,0,0.0,0,0.0,0,0.0,0,0.0,34,69.545,31,63.409,0,0.0,2,4.091,1,2.045,2,4.091,1,2.045,2,4.091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,91.18
912,Morten Thorsby,MID,Norway,Norway,1,44,0,0.0,0,0.0,0,0.0,0,0.0,18,36.818,17,34.773,0,0.0,0,0.0,0,0.0,1,2.045,1,2.045,0,0.0,0,0.0,0,0.0,0,0.0,1,2.045,0,0.0,0,0.0,94.44
807,Sergio Ramón Rochet,GK,Uruguay,Uruguay,1,44,0,0.0,0,0.0,0,0.0,0,0.0,19,38.864,10,20.455,0,0.0,0,0.0,0,0.0,1,2.045,0,0.0,4,8.182,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,52.63
520,Yaimar Abel Medina,DEF,Ecuador,Ecuador,1,44,0,0.0,0,0.0,1,2.045,0,0.0,19,38.864,17,34.773,4,8.182,2,4.091,1,2.045,1,2.045,3,6.136,3,6.136,0,0.0,0,0.0,0,0.0,1,2.045,0,0.0,0,0.0,89.47
440,Malick Thiaw,DEF,Germany,Germany,2,42,0,0.0,0,0.0,0,0.0,0,0.0,38,81.429,33,70.714,0,0.0,2,4.286,0,0.0,2,4.286,2,4.286,5,10.714,1,2.143,1,2.143,1,2.143,1,2.143,1,2.143,0,0.0,86.84
1085,Mayele Fiston Mayele,FWD,Congo DR,Congo DR,2,42,1,2.143,0,0.0,5,10.714,1,2.143,11,23.571,7,15.0,0,0.0,0,0.0,0,0.0,1,2.143,1,2.143,1,2.143,1,2.143,1,2.143,0,0.0,1,2.143,1,2.143,1,2.143,63.64
458,Jearl Erwin Margaritha,FWD,Curaçao,Curaçao,2,41,0,0.0,0,0.0,1,2.195,0,0.0,8,17.561,8,17.561,0,0.0,3,6.585,0,0.0,0,0.0,0,0.0,1,2.195,0,0.0,0,0.0,2,4.39,0,0.0,0,0.0,0,0.0,100.0
565,Koki Ogawa,FWD,Japan,Japan,3,41,0,0.0,1,2.195,3,6.585,0,0.0,3,6.585,3,6.585,0,0.0,0,0.0,0,0.0,1,2.195,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.195,0,0.0,0,0.0,100.0
1084,Charles Monginda Pickel,MID,Congo DR,Congo DR,2,41,0,0.0,0,0.0,1,2.195,0,0.0,22,48.293,19,41.707,0,0.0,0,0.0,0,0.0,0,0.0,5,10.976,1,2.195,1,2.195,1,2.195,0,0.0,2,4.39,1,2.195,0,0.0,86.36
97,Tomáš Chory,FWD,Czechia,Czechia,2,40,0,0.0,0,0.0,0,0.0,0,0.0,8,18.0,7,15.75,0,0.0,0,0.0,1,2.25,0,0.0,0,0.0,2,4.5,5,11.25,5,11.25,0,0.0,2,4.5,1,2.25,0,0.0,87.5
295,Lyndon John Dykes,FWD,Scotland,Scotland,2,39,0,0.0,0,0.0,1,2.308,0,0.0,11,25.385,7,16.154,1,2.308,1,2.308,0,0.0,2,4.615,1,2.308,1,2.308,3,6.923,3,6.923,1,2.308,2,4.615,0,0.0,0,0.0,63.64
687,Ali Alipour,FWD,IR Iran,IR Iran,1,39,0,0.0,0,0.0,1,2.308,0,0.0,8,18.462,4,9.231,0,0.0,3,6.923,0,0.0,2,4.615,1,2.308,2,4.615,2,4.615,1,2.308,1,2.308,1,2.308,1,2.308,0,0.0,50.0
598,Taha Abdi Ali,FWD,Sweden,Sweden,2,39,0,0.0,0,0.0,0,0.0,0,0.0,16,36.923,15,34.615,1,2.308,0,0.0,0,0.0,0,0.0,2,4.615,2,4.615,0,0.0,0,0.0,9,20.769,0,0.0,2,4.615,0,0.0,93.75
630,Axel Laurent Witsel,MID,Belgium,Belgium,2,39,0,0.0,0,0.0,0,0.0,0,0.0,9,20.769,8,18.462,0,0.0,2,4.615,0,0.0,1,2.308,0,0.0,0,0.0,1,2.308,1,2.308,0,0.0,2,4.615,1,2.308,0,0.0,88.89
17,Orbelín Pineda,MID,Mexico,Mexico,2,38,0,0.0,0,0.0,1,2.368,0,0.0,5,11.842,5,11.842,0,0.0,0,0.0,0,0.0,1,2.368,0,0.0,0,0.0,2,4.737,2,4.737,2,4.737,0,0.0,2,4.737,0,0.0,100.0
68,Jinseob Park,DEF,Korea Republic,South Korea,2,37,0,0.0,0,0.0,1,2.432,1,2.432,52,126.486,49,119.189,0,0.0,0,0.0,0,0.0,4,9.73,0,0.0,6,14.595,6,14.595,6,14.595,0,0.0,0,0.0,1,2.432,0,0.0,94.23
399,Deniz Daniel Gul,FWD,Türkiye,Türkiye,2,36,0,0.0,0,0.0,2,5.0,1,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,1,2.5,1,2.5,1,2.5,1,2.5,0,0.0,2,5.0,0,0.0,0,0.0,
1009,Patrick Wimmer,FWD,Austria,Austria,2,36,0,0.0,0,0.0,1,2.5,0,0.0,13,32.5,7,17.5,0,0.0,2,5.0,0,0.0,0,0.0,2,5.0,3,7.5,2,5.0,2,5.0,3,7.5,3,7.5,1,2.5,0,0.0,53.85
1010,Alexander Prass,MID,Austria,Austria,2,36,0,0.0,0,0.0,0,0.0,0,0.0,25,62.5,22,55.0,3,7.5,1,2.5,0,0.0,1,2.5,1,2.5,1,2.5,0,0.0,0,0.0,1,2.5,0,0.0,0,0.0,0,0.0,88.0
1031,Amer Saleem Saleem,DEF,Jordan,Jordan,3,35,0,0.0,0,0.0,0,0.0,0,0.0,18,46.286,12,30.857,0,0.0,3,7.714,0,0.0,4,10.286,2,5.143,2,5.143,0,0.0,0,0.0,0,0.0,1,2.571,0,0.0,0,0.0,66.67
173,Mohamed Ahmed Alganehi,MID,Qatar,Qatar,1,35,0,0.0,0,0.0,1,2.571,0,0.0,12,30.857,11,28.286,2,5.143,2,5.143,0,0.0,0,0.0,2,5.143,1,2.571,0,0.0,0,0.0,1,2.571,1,2.571,0,0.0,0,0.0,91.67
642,Joaquin Ronny Seys,DEF,Belgium,Belgium,1,35,0,0.0,0,0.0,0,0.0,0,0.0,7,18.0,7,18.0,0,0.0,1,2.571,0,0.0,5,12.857,2,5.143,1,2.571,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100.0
1113,Igor Sergeev,FWD,Uzbekistan,Uzbekistan,3,34,0,0.0,0,0.0,0,0.0,0,0.0,4,10.588,4,10.588,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.647,1,2.647,0,0.0,0,0.0,0,0.0,1,2.647,100.0
536,Guus Berend Til,MID,Netherlands,Netherlands,1,34,0,0.0,0,0.0,0,0.0,0,0.0,8,21.176,7,18.529,0,0.0,1,2.647,1,2.647,0,0.0,1,2.647,1,2.647,0,0.0,0,0.0,1,2.647,0,0.0,0,0.0,0,0.0,87.5
425,Jamie Jaleel Jeremy Leweling,MID,Germany,Germany,1,34,0,0.0,0,0.0,1,2.647,0,0.0,14,37.059,11,29.118,3,7.941,1,2.647,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.294,0,0.0,0,0.0,0,0.0,78.57
34,Tshepang Moremi,FWD,South Africa,South Africa,2,34,0,0.0,1,2.647,0,0.0,0,0.0,9,23.824,6,15.882,0,0.0,1,2.647,0,0.0,1,2.647,0,0.0,0,0.0,0,0.0,0,0.0,1,2.647,1,2.647,1,2.647,0,0.0,66.67
1076,Theo Mbulofeko Batombo Bongonda,MID,Congo DR,Congo DR,2,34,0,0.0,0,0.0,1,2.647,0,0.0,13,34.412,9,23.824,2,5.294,2,5.294,1,2.647,1,2.647,2,5.294,2,5.294,1,2.647,1,2.647,4,10.588,0,0.0,1,2.647,0,0.0,69.23
427,Nick Woltemade,FWD,Germany,Germany,1,34,0,0.0,0,0.0,2,5.294,0,0.0,1,2.647,1,2.647,0,0.0,1,2.647,1,2.647,1,2.647,0,0.0,3,7.941,3,7.941,3,7.941,0,0.0,0,0.0,0,0.0,0,0.0,100.0
545,Jorrel Evan Hato,DEF,Netherlands,Netherlands,1,34,0,0.0,0,0.0,0,0.0,0,0.0,4,10.588,2,5.294,1,2.647,2,5.294,0,0.0,1,2.647,0,0.0,3,7.941,1,2.647,1,2.647,0,0.0,0,0.0,0,0.0,0,0.0,50.0
181,Alhussein Alhashmi,DEF,Qatar,Qatar,1,33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,10.909,0,0.0,4,10.909,1,2.727,5,13.636,1,2.727,1,2.727,0,0.0,2,5.455,2,5.455,0,0.0,
770,SEMEDOJair Yannick,MID,Cabo Verde,Cabo Verde,2,33,0,0.0,0,0.0,1,2.727,0,0.0,35,95.455,27,73.636,2,5.455,0,0.0,0,0.0,1,2.727,3,8.182,0,0.0,0,0.0,0,0.0,0,0.0,1,2.727,1,2.727,0,0.0,77.14
899,Hasan Maknazi Ahmed Maknazi,DEF,Iraq,Iraq,1,33,0,0.0,0,0.0,0,0.0,0,0.0,5,13.636,3,8.182,0,0.0,5,13.636,0,0.0,1,2.727,1,2.727,4,10.909,2,5.455,2,5.455,2,5.455,0,0.0,0,0.0,0,0.0,60.0
897,Yousif Hashim Ali Yousif,FWD,Iraq,Iraq,1,33,0,0.0,0,0.0,0,0.0,0,0.0,4,10.909,4,10.909,0,0.0,0,0.0,0,0.0,2,5.455,0,0.0,0,0.0,2,5.455,2,5.455,0,0.0,1,2.727,0,0.0,0,0.0,100.0
139,Samed Bazdar,FWD,Bosnia and Herzegovina,Bosnia and Herzegovina,1,32,0,0.0,0,0.0,0,0.0,0,0.0,5,14.062,2,5.625,0,0.0,3,8.438,0,0.0,0,0.0,0,0.0,0,0.0,1,2.812,1,2.812,3,8.438,1,2.812,1,2.812,0,0.0,40.0
798,Mohsen Ala Alhajji,MID,Saudi Arabia,Saudi Arabia,2,31,0,0.0,0,0.0,0,0.0,0,0.0,17,49.355,16,46.452,0,0.0,0,0.0,1,2.903,0,0.0,1,2.903,2,5.806,1,2.903,1,2.903,1,2.903,0,0.0,0,0.0,0,0.0,94.12
891,Wali Faeq Youssef Amyn,MID,Iraq,Iraq,1,31,0,0.0,0,0.0,0,0.0,0,0.0,6,17.419,5,14.516,0,0.0,1,2.903,0,0.0,0,0.0,0,0.0,1,2.903,0,0.0,0,0.0,2,5.806,0,0.0,0,0.0,0,0.0,83.33
967,Zineddine Belaid,DEF,Algeria,Algeria,2,31,0,0.0,0,0.0,0,0.0,0,0.0,44,127.742,43,124.839,0,0.0,1,2.903,0,0.0,2,5.806,0,0.0,1,2.903,2,5.806,2,5.806,0,0.0,0,0.0,0,0.0,1,2.903,97.73
210,José Ederson Silva,MID,Brazil,Brazil,2,30,0,0.0,0,0.0,2,6.0,0,0.0,5,15.0,5,15.0,3,9.0,2,6.0,0,0.0,1,3.0,1,3.0,0,0.0,1,3.0,0,0.0,0,0.0,1,3.0,0,0.0,0,0.0,100.0
880,Bara Sapoko Ndiaye,MID,Senegal,Senegal,1,30,0,0.0,0,0.0,1,3.0,1,3.0,10,30.0,9,27.0,1,3.0,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0,2,6.0,0,0.0,90.0
229,Henrique André Luiz,FWD,Brazil,Brazil,1,29,0,0.0,0,0.0,0,0.0,0,0.0,12,37.241,12,37.241,0,0.0,1,3.103,1,3.103,0,0.0,0,0.0,1,3.103,1,3.103,1,3.103,0,0.0,0,0.0,1,3.103,0,0.0,100.0
461,Gervane Zjandric Adonnis Kastaneer,FWD,Curaçao,Curaçao,3,29,0,0.0,0,0.0,1,3.103,0,0.0,9,27.931,7,21.724,0,0.0,3,9.31,0,0.0,1,3.103,1,3.103,1,3.103,4,12.414,4,12.414,0,0.0,2,6.207,0,0.0,0,0.0,77.78
61,Guesung Cho,FWD,Korea Republic,South Korea,2,29,0,0.0,0,0.0,2,6.207,1,3.103,7,21.724,4,12.414,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.207,2,6.207,1,3.103,0,0.0,1,3.103,0,0.0,0,0.0,57.14
705,Francis De Vries,DEF,New Zealand,New Zealand,2,29,0,0.0,0,0.0,0,0.0,0,0.0,16,49.655,7,21.724,2,6.207,0,0.0,0,0.0,0,0.0,1,3.103,1,3.103,0,0.0,0,0.0,1,3.103,0,0.0,0,0.0,0,0.0,43.75
