player_id,player_name,team,position,age,current_value,predicted_post_value,change_abs,change_pct
326,Sebastian Matthew Berhalter,USA,MID,25.0,8000000.0,8135963.0,135963.0,1.7
367,Alessandro Circati,Australia,DEF,23.0,12000000.0,12202231.0,202231.0,1.7
83,Vladimír Coufal,Czechia,DEF,34.0,2500000.0,2542692.0,42692.0,1.7
997,Marcel Sabitzer,Austria,MID,32.0,6000000.0,6097740.0,97740.0,1.6
431,Nico Cédric Schlotterbeck,Germany,DEF,27.0,55000000.0,55890763.0,890763.0,1.6
655,Abdelaziz Moustafa Ramy Rabia,Egypt,DEF,33.0,9869546.0,10024981.0,155435.0,1.6
135,Sead Kolasinac,Bosnia and Herzegovina,DEF,33.0,4000000.0,4066276.0,66276.0,1.6
638,Dodi Lukebakio,Belgium,FWD,29.0,26818771.0,27262077.0,443306.0,1.6
305,Lewis Ferguson,Scotland,MID,27.0,14000000.0,14228918.0,228918.0,1.6
1235,Jiovany Javier Ramos,Panama,DEF,29.0,11158259.0,11321907.0,163648.0,1.5
59,Heung Min Son,Korea Republic,FWD,34.0,15000000.0,15228502.0,228502.0,1.5
426,Jamal Musiala,Germany,MID,23.0,100000000.0,101549170.0,1549170.0,1.5
1043,Rúben Ruben Dias,Portugal,DEF,29.0,59075240.0,59973468.0,898228.0,1.5
647,Nicolas Thierry Raskin,Belgium,MID,25.0,34430929.0,34944906.0,513977.0,1.5
439,Felix Kalu Nmecha,Germany,MID,26.0,50000000.0,50760624.0,760624.0,1.5
1161,Morgan Elliot Rogers,England,MID,24.0,90000000.0,91334991.0,1334991.0,1.5
722,Mc,New Zealand,MID,27.0,3891480.0,3948530.0,57050.0,1.5
813,Diego Nicolás De La Cruz,Uruguay,MID,29.0,20939811.0,21252298.0,312487.0,1.5
131,Nikola Vasilj,Bosnia and Herzegovina,GK,31.0,4500000.0,4565262.0,65262.0,1.4
575,Victor Jörgen Lindelof,Sweden,DEF,32.0,7447445.0,7553419.0,105974.0,1.4
497,Piero Martin Hincapie,Ecuador,DEF,24.0,7459595.0,7562446.0,102851.0,1.4
652,Ahmed Ibrahim Yasser,Egypt,DEF,33.0,4084367.0,4143978.0,59611.0,1.4
33,Oswin Reagan Appollis,South Africa,FWD,25.0,2500000.0,2535142.0,35142.0,1.4
521,Bart Verbruggen,Netherlands,GK,24.0,40000000.0,40524007.0,524007.0,1.3
417,Manuel Peter Neuer,Germany,GK,40.0,4000000.0,4052713.0,52713.0,1.3
54,Hanbeom Lee,Korea Republic,DEF,24.0,3000000.0,3038106.0,38106.0,1.3
270,Jean Ricner Bellegarde,Haiti,MID,28.0,16000000.0,16217413.0,217413.0,1.3
113,Cyle Christopher Larin,Canada,FWD,31.0,3500000.0,3547424.0,47424.0,1.3
382,Patrick Thomas Beach,Australia,GK,23.0,1000000.0,1013123.0,13123.0,1.3
1171,Dominik Livakovic,Croatia,GK,31.0,4000000.0,4051866.0,51866.0,1.3
38,Thapelo Maseko,South Africa,FWD,23.0,1200000.0,1216024.0,16024.0,1.3
1075,Kibambe Brian Cipenga,Congo DR,FWD,28.0,2000000.0,2027106.0,27106.0,1.3
667,Mostafa Ahmed Mohanad Lashin,Egypt,MID,30.0,3736043.0,3785188.0,49145.0,1.3
1067,Lionel Nzau Mpasi,Congo DR,GK,32.0,400000.0,405351.0,5351.0,1.3
1092,Arthur Fuka Masuaku,Congo DR,DEF,33.0,5114623.0,5178866.0,64243.0,1.2
961,Facundo Axel Medina,Argentina,DEF,27.0,18000000.0,18209023.0,209023.0,1.2
290,Mc,Scotland,MID,30.0,7865734.0,7960766.0,95032.0,1.2
299,Jack William Hendry,Scotland,DEF,31.0,2500000.0,2530429.0,30429.0,1.2
734,Mikel Merino,Spain,MID,30.0,101203363.0,102353217.0,1149854.0,1.1
485,Guela Maho-Lewis Doue,Côte d'Ivoire,DEF,24.0,20000000.0,20224372.0,224372.0,1.1
5,Johan Felipe Vasquez,Mexico,DEF,28.0,18265363.0,18471577.0,206214.0,1.1
633,Romelu Lukaku,Belgium,FWD,33.0,22000000.0,22233271.0,233271.0,1.1
289,Andrew Henry Robertson,Scotland,DEF,32.0,7000000.0,7077422.0,77422.0,1.1
525,Nathan Benjamin Ake,Netherlands,DEF,31.0,12000000.0,12129495.0,129495.0,1.1
583,Anthony David Junior Elanga,Sweden,FWD,24.0,32000000.0,32368521.0,368521.0,1.1
646,Alexis Jesse Saelemaekers,Belgium,MID,27.0,25194117.0,25467439.0,273322.0,1.1
470,Ousmane Diomande,Côte d'Ivoire,DEF,23.0,42000000.0,42461178.0,461178.0,1.1
481,Christopher Tea Domoraud Operi,Côte d'Ivoire,DEF,29.0,4000000.0,4042418.0,42418.0,1.1
1008,Konrad Laimer,Austria,MID,29.0,32000000.0,32363801.0,363801.0,1.1
344,Júnior Osmar Ignacio Alonso,Paraguay,DEF,33.0,4302887.0,4349052.0,46165.0,1.1
204,Fabian Rieder,Switzerland,MID,24.0,12000000.0,12118485.0,118485.0,1.0
149,Kerim Alajbegovic,Bosnia and Herzegovina,FWD,19.0,22000000.0,22225959.0,225959.0,1.0
319,Giovanni Alejandro Reyna,USA,MID,24.0,4000000.0,4041758.0,41758.0,1.0
406,Ismailİsma Yuksek,Türkiye,MID,27.0,8513692.0,8602186.0,88494.0,1.0
384,Cristian Volpato,Australia,FWD,23.0,10000000.0,10095591.0,95591.0,1.0
1023,Iyad Ali Ali Olwan,Jordan,FWD,26.0,4371693.0,4414508.0,42815.0,1.0
989,Alexander Schlager,Austria,GK,30.0,2000000.0,2020443.0,20443.0,1.0
116,Tanitoluwa Oluwatimilehin Oluwaseyi,Canada,FWD,26.0,7000000.0,7068727.0,68727.0,1.0
932,Oscar Bobb,Norway,MID,23.0,28000000.0,28287252.0,287252.0,1.0
1236,Carlos Miguel Harvey,Panama,DEF,26.0,7787286.0,7864343.0,77057.0,1.0
361,Matias Galarza,Paraguay,MID,24.0,7556755.0,7633699.0,76944.0,1.0
471,N'clomande Ghislain Konan,Côte d'Ivoire,DEF,31.0,3000000.0,3030227.0,30227.0,1.0
570,Kaishu Sano,Japan,MID,26.0,40000000.0,40394436.0,394436.0,1.0
469,Yahia Fofana,Côte d'Ivoire,GK,26.0,5000000.0,5046392.0,46392.0,0.9
649,Nathan Ngoy,Belgium,DEF,23.0,25000000.0,25232438.0,232438.0,0.9
764,Gregory Jamiro Monteiro,Cabo Verde,MID,33.0,6722740.0,6786706.0,63966.0,0.9
1184,Ivan Perisic,Croatia,FWD,37.0,1200000.0,1210768.0,10768.0,0.9
635,Jeremy Baffour Doku,Belgium,FWD,24.0,75000000.0,75661782.0,661782.0,0.9
74,Youngwoo Seol,Korea Republic,DEF,28.0,6500000.0,6555777.0,55777.0,0.9
809,Sebastián Enzo Caceres,Uruguay,DEF,27.0,6541600.0,6601134.0,59534.0,0.9
811,Manuel Ugarte,Uruguay,MID,25.0,7236734.0,7304515.0,67781.0,0.9
7,Luis Francisco Romo,Mexico,MID,31.0,12552748.0,12667741.0,114993.0,0.9
