match_id,match_team_id,metric,source_page,team,team_id,value
2026-M024-UZB-COL,2026-M024-UZB-COL_COL,goalkeeper_line_breaks,33,Colombia,COL,14
2026-M024-UZB-COL,2026-M024-UZB-COL_COL,total_distributions,33,Colombia,COL,38
2026-M024-UZB-COL,2026-M024-UZB-COL_COL,from_hands,33,Colombia,COL,0
2026-M024-UZB-COL,2026-M024-UZB-COL_COL,under_arm,33,Colombia,COL,2
2026-M025-CZE-RSA,2026-M025-CZE-RSA_CZE,goalkeeper_line_breaks,32,Czechia,CZE,11
2026-M025-CZE-RSA,2026-M025-CZE-RSA_CZE,total_distributions,32,Czechia,CZE,24
2026-M025-CZE-RSA,2026-M025-CZE-RSA_CZE,from_hands,32,Czechia,CZE,0
2026-M025-CZE-RSA,2026-M025-CZE-RSA_CZE,under_arm,32,Czechia,CZE,3
2026-M025-CZE-RSA,2026-M025-CZE-RSA_RSA,goalkeeper_line_breaks,33,South Africa,RSA,23
2026-M025-CZE-RSA,2026-M025-CZE-RSA_RSA,total_distributions,33,South Africa,RSA,63
2026-M025-CZE-RSA,2026-M025-CZE-RSA_RSA,from_hands,33,South Africa,RSA,1
2026-M025-CZE-RSA,2026-M025-CZE-RSA_RSA,under_arm,33,South Africa,RSA,1
2026-M026-SUI-BIH,2026-M026-SUI-BIH_SUI,goalkeeper_line_breaks,32,Switzerland,SUI,16
2026-M026-SUI-BIH,2026-M026-SUI-BIH_SUI,total_distributions,32,Switzerland,SUI,36
2026-M026-SUI-BIH,2026-M026-SUI-BIH_SUI,from_hands,32,Switzerland,SUI,0
2026-M026-SUI-BIH,2026-M026-SUI-BIH_SUI,under_arm,32,Switzerland,SUI,2
2026-M026-SUI-BIH,2026-M026-SUI-BIH_BIH,goalkeeper_line_breaks,33,Bosnia and Herzegovina,BIH,18
2026-M026-SUI-BIH,2026-M026-SUI-BIH_BIH,total_distributions,33,Bosnia and Herzegovina,BIH,34
2026-M026-SUI-BIH,2026-M026-SUI-BIH_BIH,from_hands,33,Bosnia and Herzegovina,BIH,4
2026-M026-SUI-BIH,2026-M026-SUI-BIH_BIH,under_arm,33,Bosnia and Herzegovina,BIH,4
2026-M027-CAN-QAT,2026-M027-CAN-QAT_CAN,goalkeeper_line_breaks,33,Canada,CAN,1
2026-M027-CAN-QAT,2026-M027-CAN-QAT_CAN,total_distributions,33,Canada,CAN,16
2026-M027-CAN-QAT,2026-M027-CAN-QAT_CAN,from_hands,33,Canada,CAN,0
2026-M027-CAN-QAT,2026-M027-CAN-QAT_CAN,under_arm,33,Canada,CAN,2
2026-M027-CAN-QAT,2026-M027-CAN-QAT_QAT,goalkeeper_line_breaks,34,Qatar,QAT,22
2026-M027-CAN-QAT,2026-M027-CAN-QAT_QAT,total_distributions,34,Qatar,QAT,24
2026-M027-CAN-QAT,2026-M027-CAN-QAT_QAT,from_hands,34,Qatar,QAT,6
2026-M027-CAN-QAT,2026-M027-CAN-QAT_QAT,under_arm,34,Qatar,QAT,1
2026-M028-MEX-KOR,2026-M028-MEX-KOR_MEX,goalkeeper_line_breaks,32,Mexico,MEX,18
2026-M028-MEX-KOR,2026-M028-MEX-KOR_MEX,total_distributions,32,Mexico,MEX,31
2026-M028-MEX-KOR,2026-M028-MEX-KOR_MEX,from_hands,32,Mexico,MEX,1
2026-M028-MEX-KOR,2026-M028-MEX-KOR_MEX,under_arm,32,Mexico,MEX,3
2026-M028-MEX-KOR,2026-M028-MEX-KOR_KOR,goalkeeper_line_breaks,33,Korea Republic,KOR,15
2026-M028-MEX-KOR,2026-M028-MEX-KOR_KOR,total_distributions,33,Korea Republic,KOR,35
