appearance_id,attempts_at_goal,ball_progressions,crosses_attempted,crosses_completed,goals,line_break_completion_pct,line_breaks_attempted,line_breaks_completed,match_id,match_team_id,pass_completion_pct,passes_attempted,passes_completed,player_id,player_name,shirt_number,source_page,step_ins,switches_of_play,take_ons,team,team_id
2026-M002-KOR-CZE_KOR_08,0,0,1,0,0,86%,14,12,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,90%,63,57,KOR_paik_seungho,PAIK Seungho,8,42,1,1,1,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_10,2,0,1,0,0,50%,4,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,78%,32,25,KOR_lee_jaesung,LEE Jaesung,10,42,0,1,0,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_13,0,0,4,2,0,80%,10,8,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,85%,33,28,KOR_lee_taeseok,LEE Taeseok,13,42,0,1,0,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_19,1,8,4,1,0,100%,11,11,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,100%,38,38,KOR_lee_kangin,LEE Kangin,19,42,0,1,8,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_22,0,1,3,1,0,67%,6,4,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,95%,44,42,KOR_seol_youngwoo,SEOL Youngwoo,22,42,2,0,3,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_11,0,3,0,0,0,100%,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,100%,10,10,KOR_hwang_heechan,HWANG Heechan,11,42,0,0,3,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_16,0,0,0,0,0,50%,2,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,80%,5,4,KOR_park_jinseob,PARK Jinseob,16,42,0,0,0,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_18,1,1,0,0,1,0%,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,67%,6,4,KOR_oh_hyeongyu,OH Hyeongyu,18,42,0,0,1,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_24,1,0,0,0,0,100%,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,75%,4,3,KOR_kim_jingyu,KIM Jingyu,24,42,0,0,0,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_25,0,1,1,1,0,100%,2,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,100%,3,3,KOR_eom_jisung,EOM Jisung,25,42,0,0,1,Korea Republic,KOR
2026-M002-KOR-CZE_CZE_01,0,0,0,0,0,35%,23,8,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,47%,32,15,CZE_matej_kovar,Matej KOVAR,1,44,0,0,0,Czechia,CZE
2026-M002-KOR-CZE_CZE_04,0,0,0,0,0,33%,6,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,85%,33,28,CZE_robin_hranac,Robin HRANAC,4,44,0,0,0,Czechia,CZE
2026-M002-KOR-CZE_CZE_05,0,2,7,1,0,25%,12,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,75%,32,24,CZE_vladimir_coufal,Vladimir COUFAL,5,44,0,0,2,Czechia,CZE
2026-M002-KOR-CZE_CZE_06,0,0,0,0,0,60%,10,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,68%,22,15,CZE_stepan_chaloupek,Stepan CHALOUPEK,6,44,0,1,0,Czechia,CZE
2026-M002-KOR-CZE_CZE_07,1,0,1,0,1,47%,17,8,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,69%,45,31,CZE_ladislav_krejci,Ladislav KREJCI,7,44,0,0,0,Czechia,CZE
2026-M002-KOR-CZE_CZE_10,0,0,0,0,0,0%,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,60%,5,3,CZE_patrik_schick,Patrik SCHICK,10,44,0,0,0,Czechia,CZE
2026-M002-KOR-CZE_CZE_15,1,1,0,0,0,0%,2,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,81%,16,13,CZE_pavel_sulc,Pavel SULC,15,44,0,0,1,Czechia,CZE
2026-M002-KOR-CZE_CZE_17,0,1,1,0,0,100%,3,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,80%,20,16,CZE_lukas_provod,Lukas PROVOD,17,44,0,0,1,Czechia,CZE
2026-M002-KOR-CZE_CZE_20,0,1,2,1,0,78%,9,7,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,79%,34,27,CZE_jaroslav_zeleny,Jaroslav ZELENY,20,44,1,0,2,Czechia,CZE
2026-M002-KOR-CZE_CZE_22,1,0,0,0,0,75%,8,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,79%,33,26,CZE_tomas_soucek,Tomas SOUCEK,22,44,0,0,0,Czechia,CZE
2026-M002-KOR-CZE_CZE_24,0,2,1,1,0,60%,10,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,76%,34,26,CZE_alexandr_sojka,Alexandr SOJKA,24,44,1,2,3,Czechia,CZE
2026-M002-KOR-CZE_CZE_09,2,0,0,0,0,0%,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,67%,3,2,CZE_adam_hlozek,Adam HLOZEK,9,44,1,0,1,Czechia,CZE
2026-M002-KOR-CZE_CZE_13,0,0,0,0,0,100%,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,100%,2,2,CZE_mojmir_chytil,Mojmir CHYTIL,13,44,0,0,0,Czechia,CZE
2026-M002-KOR-CZE_CZE_18,2,0,3,1,0,50%,4,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,75%,12,9,CZE_michal_sadilek,Michal SADILEK,18,44,0,1,0,Czechia,CZE
2026-M002-KOR-CZE_CZE_19,0,0,0,0,0,100%,2,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,100%,4,4,CZE_tomas_chory,Tomas CHORY,19,44,0,0,0,Czechia,CZE
2026-M003-CAN-BIH_CAN_16,0,0,0,0,0,38%,8,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,73%,26,19,CAN_maxime_crepeau,Maxime CREPEAU,16,42,0,0,0,Canada,CAN
2026-M003-CAN-BIH_CAN_02,1,1,2,0,0,58%,24,14,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,66%,47,31,CAN_alistair_johnston,Alistair JOHNSTON,2,42,0,0,1,Canada,CAN
2026-M003-CAN-BIH_CAN_04,0,0,1,0,0,56%,9,5,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,88%,43,38,CAN_luc_de_fougerolles,Luc DE FOUGEROLLES,4,42,2,1,2,Canada,CAN
