appearance_id,blocks,clearances,duels_won_aerial,duels_won_physical,interceptions,loose_ball_receptions,match_id,match_team_id,player_id,player_name,possession_contests_won,possession_interrupted,possession_regains,pressing_direct,pressing_indirect,pushing_on,pushing_on_into_pressing,shirt_number,tackles_made_won,team,team_id,topic
2026-M002-KOR-CZE_KOR_11,1,1,0,0,0,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_hwang_heechan,HWANG Heechan,0,1,1,1,3,2,1,11,0 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_16,0,2,3,0,0,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_park_jinseob,PARK Jinseob,3,1,5,0,1,4,1,16,0 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_18,0,0,2,0,0,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_oh_hyeongyu,OH Hyeongyu,2,0,0,1,9,2,2,18,0 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_24,0,0,1,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_kim_jingyu,KIM Jingyu,1,0,1,0,4,4,2,24,0 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_25,0,0,1,0,0,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_eom_jisung,EOM Jisung,1,1,0,0,2,2,2,25,1 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_CZE_01,0,1,0,0,0,4,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_matej_kovar,Matej KOVAR,0,1,8,0,0,0,0,1,0 / 0,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_04,1,2,2,0,1,4,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_robin_hranac,Robin HRANAC,2,1,4,4,8,29,4,4,2 / 1,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_05,1,2,1,0,1,8,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_vladimir_coufal,Vladimir COUFAL,1,4,2,5,7,36,8,5,1 / 0,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_06,4,8,3,0,1,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_stepan_chaloupek,Stepan CHALOUPEK,4,5,9,15,7,31,13,6,5 / 2,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_07,1,5,3,0,0,9,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_ladislav_krejci,Ladislav KREJCI,3,6,3,4,9,19,6,7,4 / 1,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_10,1,1,1,0,0,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_patrik_schick,Patrik SCHICK,1,1,0,2,25,31,16,10,0 / 0,Czechia,CZE,out_of_possession
