appearances_count,display_name,player_id,shirt_numbers,team_id
4,Esmir BAJRAKTAREVIC,BIH_esmir_bajraktarevic,20,BIH
4,Haris TABAKOVIC,BIH_haris_tabakovic,23,BIH
4,Ivan BASIC,BIH_ivan_basic,13,BIH
4,Ivan SUNJIC,BIH_ivan_sunjic,14,BIH
4,Jovo LUKIC,BIH_jovo_lukic,25,BIH
4,Kerim ALAJBEGOVIC,BIH_kerim_alajbegovic,19,BIH
4,Martin ZLOMISLIC,BIH_martin_zlomislic,22,BIH
4,Mladen JURKAS,BIH_mladen_jurkas,12,BIH
4,Nihad MUJAKIC,BIH_nihad_mujakic,2,BIH
4,Nikola KATIC,BIH_nikola_katic,18,BIH
4,Nikola VASILJ,BIH_nikola_vasilj,1,BIH
4,Samed BAZDAR,BIH_samed_bazdar,9,BIH
4,Sead KOLASINAC,BIH_sead_kolasinac,5,BIH
4,Stjepan RADELJIC,BIH_stjepan_radeljic,21,BIH
3,Tarik MUHAREMOVIC,BIH_tarik_muharemovic,4,BIH
5,ALEX SANDRO,BRA_alex_sandro,6,BRA
5,ALISSON,BRA_alisson,1,BRA
5,BREMER,BRA_bremer,14,BRA
5,BRUNO GUIMARAES,BRA_bruno_guimaraes,8,BRA
5,CASEMIRO,BRA_casemiro,5,BRA
5,DANILO,BRA_danilo,13,BRA
5,DANILO SANTOS,BRA_danilo_santos,18,BRA
5,DOUGLAS SANTOS,BRA_douglas_santos,16,BRA
5,EDERSON,BRA_ederson,23,BRA
5,EDERSON SILVA,BRA_ederson_silva,2,BRA
5,ENDRICK,BRA_endrick,19,BRA
5,FABINHO,BRA_fabinho,17,BRA
5,GABRIEL MAGALHAES,BRA_gabriel_magalhaes,3,BRA
5,GABRIEL MARTINELLI,BRA_gabriel_martinelli,22,BRA
5,IGOR THIAGO,BRA_igor_thiago,25,BRA
5,LEO PEREIRA,BRA_leo_pereira,15,BRA
5,LUCAS PAQUETA,BRA_lucas_paqueta,20,BRA
5,LUIZ HENRIQUE,BRA_luiz_henrique,21,BRA
5,MARQUINHOS,BRA_marquinhos,4,BRA
5,MATHEUS CUNHA,BRA_matheus_cunha,9,BRA
5,NEYMAR JR,BRA_neymar_jr,10,BRA
5,RAPHINHA,BRA_raphinha,11,BRA
5,RAYAN,BRA_rayan,26,BRA
5,ROGER IBANEZ,BRA_roger_ibanez,24,BRA
5,VINICIUS JUNIOR,BRA_vinicius_junior,7,BRA
5,WEVERTON,BRA_weverton,12,BRA
5,Alﬁe JONES,CAN_alfie_jones,3,CAN
5,Ali AHMED,CAN_ali_ahmed,20,CAN
5,Alistair JOHNSTON,CAN_alistair_johnston,2,CAN
5,Alphonso DAVIES,CAN_alphonso_davies,19,CAN
5,Cyle LARIN,CAN_cyle_larin,9,CAN
5,Dayne ST. CLAIR,CAN_dayne_st_clair,1,CAN
5,Derek CORNELIUS,CAN_derek_cornelius,13,CAN
5,Ismael KONE,CAN_ismael_kone,8,CAN
5,Jacob SHAFFELBURG,CAN_jacob_shaffelburg,14,CAN
5,Jayden NELSON,CAN_jayden_nelson,26,CAN
5,Joel WATERMAN,CAN_joel_waterman,5,CAN
5,Jonathan DAVID,CAN_jonathan_david,10,CAN
5,Jonathan OSORIO,CAN_jonathan_osorio,21,CAN
5,Liam MILLAR,CAN_liam_millar,11,CAN
5,Luc DE FOUGEROLLES,CAN_luc_de_fougerolles,4,CAN
5,Mathieu CHOINIERE,CAN_mathieu_choiniere,6,CAN
5,Maxime CREPEAU,CAN_maxime_crepeau,16,CAN
5,Moise BOMBITO,CAN_moise_bombito,15,CAN
5,Nathan SALIBA,CAN_nathan_saliba,25,CAN
5,Niko SIGUR,CAN_niko_sigur,23,CAN
5,Owen GOODMAN,CAN_owen_goodman,18,CAN
5,Promise DAVID,CAN_promise_david,24,CAN
5,Richie LARYEA,CAN_richie_laryea,22,CAN
5,Stephen EUSTAQUIO,CAN_stephen_eustaquio,7,CAN
5,Tajon BUCHANAN,CAN_tajon_buchanan,17,CAN
5,Tani OLUWASEYI,CAN_tani_oluwaseyi,12,CAN
4,Alban LAFONT,CIV_alban_lafont,23,CIV
4,Amad DIALLO,CIV_amad_diallo,15,CIV
4,Ange-Yoan BONNY,CIV_ange_yoan_bonny,9,CIV
4,Bazoumana TOURE,CIV_bazoumana_toure,24,CIV
4,Christ Inao OULAI,CIV_christ_inao_oulai,26,CIV
4,Christopher OPERI,CIV_christopher_operi,13,CIV
4,Elye WAHI,CIV_elye_wahi,12,CIV
4,Emmanuel AGBADOU,CIV_emmanuel_agbadou,20,CIV
4,Evan NDICKA,CIV_evan_ndicka,21,CIV
4,Evann GUESSAND,CIV_evann_guessand,22,CIV
4,Franck KESSIE,CIV_franck_kessie,8,CIV
4,Ghislain KONAN,CIV_ghislain_konan,3,CIV
4,Guela DOUE,CIV_guela_doue,17,CIV
4,Ibrahim SANGARE,CIV_ibrahim_sangare,18,CIV
4,Jean Michael SERI,CIV_jean_michael_seri,4,CIV
4,Mohamed KONE,CIV_mohamed_kone,16,CIV
4,Nicolas PEPE,CIV_nicolas_pepe,19,CIV
4,Odilon KOSSOUNOU,CIV_odilon_kossounou,7,CIV
4,Oumar DIAKITE,CIV_oumar_diakite,14,CIV
4,Ousmane DIOMANDE,CIV_ousmane_diomande,2,CIV
4,Parfait GUIAGON,CIV_parfait_guiagon,25,CIV
4,Seko FOFANA,CIV_seko_fofana,6,CIV
4,Simon ADINGRA,CIV_simon_adingra,10,CIV
4,Wilfried SINGO,CIV_wilfried_singo,5,CIV
4,Yahia FOFANA,CIV_yahia_fofana,1,CIV
4,Yan DIOMANDE,CIV_yan_diomande,11,CIV
4,Aaron TSHIBOLA,COD_aaron_tshibola,15,COD
4,Aaron WAN-BISSAKA,COD_aaron_wan_bissaka,2,COD
4,Arthur MASUAKU,COD_arthur_masuaku,26,COD
4,Axel TUANZEBE,COD_axel_tuanzebe,4,COD
4,Brian CIPENGA,COD_brian_cipenga,9,COD
4,Cedric BAKAMBU,COD_cedric_bakambu,17,COD
4,Chancel MBEMBA,COD_chancel_mbemba,22,COD
4,Charles PICKEL,COD_charles_pickel,18,COD
4,Dylan BATUBINSIKA,COD_dylan_batubinsika,5,COD
4,Edo KAYEMBE,COD_edo_kayembe,25,COD
4,Fiston MAYELE,COD_fiston_mayele,19,COD
4,Gael KAKUTA,COD_gael_kakuta,11,COD
4,Gedeon KALULU,COD_gedeon_kalulu,24,COD
4,Joris KAYEMBE,COD_joris_kayembe,12,COD
4,Lionel MPASI,COD_lionel_mpasi,1,COD
4,Matthieu EPOLO,COD_matthieu_epolo,21,COD
4,Meschack ELIA,COD_meschack_elia,13,COD
4,Nathanael MBUKU,COD_nathanael_mbuku,7,COD
4,Ngalayel MUKAU,COD_ngalayel_mukau,6,COD
4,Noah SADIKI,COD_noah_sadiki,14,COD
4,Samuel MOUTOUSSAMY,COD_samuel_moutoussamy,8,COD
4,Simon BANZA,COD_simon_banza,23,COD
4,Steve KAPUADI,COD_steve_kapuadi,3,COD
4,Theo BONGONDA,COD_theo_bongonda,10,COD
4,Timothy FAYULU,COD_timothy_fayulu,16,COD
4,Yoane WISSA,COD_yoane_wissa,20,COD
5,Alvaro MONTERO,COL_alvaro_montero,24,COL
5,Andres GOMEZ,COL_andres_gomez,26,COL
5,Camilo VARGAS,COL_camilo_vargas,12,COL
5,Cucho HERNANDEZ,COL_cucho_hernandez,19,COL
5,Daniel MUNOZ,COL_daniel_munoz,2,COL
5,David OSPINA,COL_david_ospina,1,COL
5,Davinson SANCHEZ,COL_davinson_sanchez,23,COL
5,Deiver MACHADO,COL_deiver_machado,22,COL
5,Gustavo PUERTA,COL_gustavo_puerta,14,COL
5,James RODRIGUEZ,COL_james_rodriguez,10,COL
5,Jaminton CAMPAZ,COL_jaminton_campaz,21,COL
5,Jefferson LERMA,COL_jefferson_lerma,16,COL
5,Jhon ARIAS,COL_jhon_arias,11,COL
5,Jhon CORDOBA,COL_jhon_cordoba,9,COL
5,Jhon LUCUMI,COL_jhon_lucumi,3,COL
5,Johan MOJICA,COL_johan_mojica,17,COL
5,Jorge CARRASCAL,COL_jorge_carrascal,8,COL
5,Juan PORTILLA,COL_juan_portilla,15,COL
5,Juan QUINTERO,COL_juan_quintero,20,COL
5,Kevin CASTANO,COL_kevin_castano,5,COL
5,Luis DIAZ,COL_luis_diaz,7,COL
5,Luis SUAREZ,COL_luis_suarez,25,COL
5,Richard RIOS,COL_richard_rios,6,COL
5,Santiago ARIAS,COL_santiago_arias,4,COL
5,Willer DITTA,COL_willer_ditta,18,COL
5,Yerry MINA,COL_yerry_mina,13,COL
4,CJ DOS SANTOS,CPV_cj_dos_santos,23,CPV
4,DAILON LIVRAMENTO,CPV_dailon_livramento,19,CPV
4,DEROY DUARTE,CPV_deroy_duarte,14,CPV
4,DINEY BORGES,CPV_diney_borges,3,CPV
4,GARRY RODRIGUES,CPV_garry_rodrigues,11,CPV
4,GILSON BENCHIMOL,CPV_gilson_benchimol,9,CPV
4,HELIO VARELA,CPV_helio_varela,26,CPV
4,JAMIRO MONTEIRO,CPV_jamiro_monteiro,10,CPV
4,JOAO PAULO,CPV_joao_paulo,8,CPV
4,JOVANE CABRAL,CPV_jovane_cabral,7,CPV
4,KELVIN PIRES,CPV_kelvin_pires,25,CPV
4,KEVIN PINA,CPV_kevin_pina,6,CPV
4,LAROS DUARTE,CPV_laros_duarte,15,CPV
4,LOGAN COSTA,CPV_logan_costa,5,CPV
4,MARCIO ROSA,CPV_marcio_rosa,12,CPV
4,NUNO DA COSTA,CPV_nuno_da_costa,21,CPV
4,PICO LOPES,CPV_pico_lopes,4,CPV
4,RYAN MENDES,CPV_ryan_mendes,20,CPV
3,SIDNY LOPES CABRAL,CPV_sidny_lopes_cabral,13,CPV
