appearance_id,high_speed_runs_zone3,match_id,match_team_id,player_id,player_name,shirt_number,source_page,sprints_zone4_5,team,team_id,top_speed_kmh,total_distance_m,zone1_0_7_kmh_m,zone2_7_15_kmh_m,zone3_15_20_kmh_m,zone4_20_25_kmh_m,zone5_25_plus_kmh_m
2026-M002-KOR-CZE_KOR_06,111.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_hwang_inbeom,HWANG Inbeom,6,50,36.0,Korea Republic,KOR,28.5,9516.0,2970.3,4727.8,1319.4,405.7,92.8
2026-M002-KOR-CZE_KOR_07,58.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_son_heungmin,SON Heungmin,7,50,38.0,Korea Republic,KOR,35.2,7029.0,2970.0,2600.4,605.8,486.1,366.6
2026-M002-KOR-CZE_KOR_08,115.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_paik_seungho,PAIK Seungho,8,50,20.0,Korea Republic,KOR,29.3,9350.8,3288.3,4562.8,1263.7,216.9,19.0
2026-M002-KOR-CZE_KOR_10,110.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_jaesung,LEE Jaesung,10,50,44.0,Korea Republic,KOR,29.2,7571.2,2523.8,3042.0,1270.6,534.4,200.4
2026-M002-KOR-CZE_KOR_13,90.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_taeseok,LEE Taeseok,13,50,35.0,Korea Republic,KOR,31.9,7706.3,2565.8,3389.9,1122.4,458.1,170.1
2026-M002-KOR-CZE_KOR_19,88.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_kangin,LEE Kangin,19,50,22.0,Korea Republic,KOR,28.8,9529.9,3935.8,4107.1,1153.5,288.7,44.9
2026-M002-KOR-CZE_KOR_22,115.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_seol_youngwoo,SEOL Youngwoo,22,50,53.0,Korea Republic,KOR,31.8,11283.9,4222.8,4452.2,1488.9,738.3,381.7
2026-M002-KOR-CZE_KOR_11,45.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_hwang_heechan,HWANG Heechan,11,50,13.0,Korea Republic,KOR,29.9,3482.9,1295.5,1476.8,450.5,167.6,92.5
2026-M002-KOR-CZE_KOR_16,22.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_park_jinseob,PARK Jinseob,16,50,7.0,Korea Republic,KOR,25.7,1652.4,570.8,708.3,251.1,117.3,4.8
2026-M002-KOR-CZE_KOR_18,31.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_oh_hyeongyu,OH Hyeongyu,18,50,15.0,Korea Republic,KOR,29.1,3040.6,1145.8,1288.6,350.8,188.9,66.5
