appearance_id,cutback,driven,inswing,lofted,match_id,match_team_id,outswing,player_id,player_name,push_cross,shirt_number,team,team_id,topic,total_attempted
2026-M002-KOR-CZE_KOR_13,0,1,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,3,KOR_lee_taeseok,LEE Taeseok,0,13,Korea Republic,KOR,crosses_open_play,4
2026-M002-KOR-CZE_KOR_19,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,1,KOR_lee_kangin,LEE Kangin,1,19,Korea Republic,KOR,crosses_open_play,2
2026-M002-KOR-CZE_KOR_22,0,0,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,1,KOR_seol_youngwoo,SEOL Youngwoo,0,22,Korea Republic,KOR,crosses_open_play,3
2026-M002-KOR-CZE_KOR_11,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_hwang_heechan,HWANG Heechan,0,11,Korea Republic,KOR,crosses_open_play,0
2026-M002-KOR-CZE_KOR_16,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_park_jinseob,PARK Jinseob,0,16,Korea Republic,KOR,crosses_open_play,0
2026-M002-KOR-CZE_KOR_18,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_oh_hyeongyu,OH Hyeongyu,0,18,Korea Republic,KOR,crosses_open_play,0
2026-M002-KOR-CZE_KOR_24,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_kim_jingyu,KIM Jingyu,0,24,Korea Republic,KOR,crosses_open_play,0
2026-M002-KOR-CZE_KOR_25,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,1,KOR_eom_jisung,EOM Jisung,0,25,Korea Republic,KOR,crosses_open_play,1
2026-M002-KOR-CZE_CZE_01,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_matej_kovar,Matej KOVAR,0,1,Czechia,CZE,crosses_open_play,0
2026-M002-KOR-CZE_CZE_04,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_robin_hranac,Robin HRANAC,0,4,Czechia,CZE,crosses_open_play,0
2026-M002-KOR-CZE_CZE_05,1,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,3,CZE_vladimir_coufal,Vladimir COUFAL,0,5,Czechia,CZE,crosses_open_play,4
2026-M002-KOR-CZE_CZE_06,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_stepan_chaloupek,Stepan CHALOUPEK,0,6,Czechia,CZE,crosses_open_play,0
2026-M002-KOR-CZE_CZE_07,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,1,CZE_ladislav_krejci,Ladislav KREJCI,0,7,Czechia,CZE,crosses_open_play,1
2026-M002-KOR-CZE_CZE_10,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_patrik_schick,Patrik SCHICK,0,10,Czechia,CZE,crosses_open_play,0
2026-M002-KOR-CZE_CZE_15,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_pavel_sulc,Pavel SULC,0,15,Czechia,CZE,crosses_open_play,0
