category,from_left_side,from_right_side,match_id,match_team_id,metric,source_page,team,team_id,value
corners_delivery_type,1,2,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Direct to Area,39,USA,USA,3
corners_delivery_type,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Short,39,USA,USA,0
corners_delivery_type,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Edge of Penalty Area,39,USA,USA,0
corners_delivery_style,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Inswing,39,USA,USA,3
corners_delivery_style,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Outswing,39,USA,USA,0
corners_delivery_style,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Driven,39,USA,USA,0
corners_delivery_style,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Lofted,39,USA,USA,0
free_kicks,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Direct,39,USA,USA,16
free_kicks,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Direct (on target),39,USA,USA,0
free_kicks,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Direct (off target),39,USA,USA,0
free_kicks,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Indirect,39,USA,USA,2
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,total_set_plays,39,USA,USA,44
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,total_free_kicks,39,USA,USA,18
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,total_penalties,39,USA,USA,0
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,total_corners,39,USA,USA,3
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,total_throw_ins,39,USA,USA,23
corners_delivery_type,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Direct to Area,40,Paraguay,PAR,0
corners_delivery_type,1,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Short,40,Paraguay,PAR,1
corners_delivery_type,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Edge of Penalty Area,40,Paraguay,PAR,0
corners_delivery_style,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Inswing,40,Paraguay,PAR,0
corners_delivery_style,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Outswing,40,Paraguay,PAR,0
corners_delivery_style,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Driven,40,Paraguay,PAR,0
corners_delivery_style,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Lofted,40,Paraguay,PAR,0
free_kicks,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Direct,40,Paraguay,PAR,13
free_kicks,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Direct (on target),40,Paraguay,PAR,0
free_kicks,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Direct (off target),40,Paraguay,PAR,0
free_kicks,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Indirect,40,Paraguay,PAR,2
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,total_set_plays,40,Paraguay,PAR,33
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,total_free_kicks,40,Paraguay,PAR,15
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,total_penalties,40,Paraguay,PAR,0
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,total_corners,40,Paraguay,PAR,1
summary,,,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,total_throw_ins,40,Paraguay,PAR,17
corners_delivery_type,2,1,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Direct to Area,39,Haiti,HAI,3
corners_delivery_type,1,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Short,39,Haiti,HAI,1
corners_delivery_type,0,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Edge of Penalty Area,39,Haiti,HAI,0
corners_delivery_style,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Inswing,39,Haiti,HAI,2
corners_delivery_style,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Outswing,39,Haiti,HAI,1
corners_delivery_style,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Driven,39,Haiti,HAI,0
corners_delivery_style,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Lofted,39,Haiti,HAI,0
free_kicks,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Direct,39,Haiti,HAI,21
free_kicks,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Direct (on target),39,Haiti,HAI,0
