appearance_id,in_behind,in_between,in_front,in_to_out,match_id,match_team_id,no_movement,offers_received,out_to_in,player_id,player_name,shirt_number,source_page,team,team_id,total_offers
2026-M002-KOR-CZE_CZE_04,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,1,1,0,CZE_robin_hranac,Robin HRANAC,4,45,Czechia,CZE,1
2026-M002-KOR-CZE_CZE_05,17,2,6,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,9,13,0,CZE_vladimir_coufal,Vladimir COUFAL,5,45,Czechia,CZE,34
2026-M002-KOR-CZE_CZE_06,0,0,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,3,3,0,CZE_stepan_chaloupek,Stepan CHALOUPEK,6,45,Czechia,CZE,4
2026-M002-KOR-CZE_CZE_07,0,1,5,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,7,7,0,CZE_ladislav_krejci,Ladislav KREJCI,7,45,Czechia,CZE,13
2026-M002-KOR-CZE_CZE_10,13,5,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,0,0,CZE_patrik_schick,Patrik SCHICK,10,45,Czechia,CZE,18
2026-M002-KOR-CZE_CZE_15,12,5,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,1,5,0,CZE_pavel_sulc,Pavel SULC,15,45,Czechia,CZE,20
2026-M002-KOR-CZE_CZE_17,14,1,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,4,6,0,CZE_lukas_provod,Lukas PROVOD,17,45,Czechia,CZE,21
2026-M002-KOR-CZE_CZE_20,7,1,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,2,4,1,CZE_jaroslav_zeleny,Jaroslav ZELENY,20,45,Czechia,CZE,12
2026-M002-KOR-CZE_CZE_22,0,5,4,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,4,0,CZE_tomas_soucek,Tomas SOUCEK,22,45,Czechia,CZE,9
2026-M002-KOR-CZE_CZE_24,5,11,14,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,4,13,1,CZE_alexandr_sojka,Alexandr SOJKA,24,45,Czechia,CZE,38
2026-M002-KOR-CZE_CZE_09,1,1,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,2,2,0,CZE_adam_hlozek,Adam HLOZEK,9,45,Czechia,CZE,6
2026-M002-KOR-CZE_CZE_13,2,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,1,0,CZE_mojmir_chytil,Mojmir CHYTIL,13,45,Czechia,CZE,2
2026-M002-KOR-CZE_CZE_18,2,1,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,3,4,0,CZE_michal_sadilek,Michal SADILEK,18,45,Czechia,CZE,7
2026-M002-KOR-CZE_CZE_19,6,4,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,2,0,CZE_tomas_chory,Tomas CHORY,19,45,Czechia,CZE,10
2026-M003-CAN-BIH_CAN_16,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,2,1,0,CAN_maxime_crepeau,Maxime CREPEAU,16,43,Canada,CAN,2
2026-M003-CAN-BIH_CAN_02,0,4,4,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,10,9,0,CAN_alistair_johnston,Alistair JOHNSTON,2,43,Canada,CAN,19
2026-M003-CAN-BIH_CAN_04,3,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,7,5,0,CAN_luc_de_fougerolles,Luc DE FOUGEROLLES,4,43,Canada,CAN,10
2026-M003-CAN-BIH_CAN_07,9,11,6,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,6,12,0,CAN_stephen_eustaquio,Stephen EUSTAQUIO,7,43,Canada,CAN,35
2026-M003-CAN-BIH_CAN_08,1,7,14,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,3,7,1,CAN_ismael_kone,Ismael KONE,8,43,Canada,CAN,27
2026-M003-CAN-BIH_CAN_10,10,5,0,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,5,3,CAN_jonathan_david,Jonathan DAVID,10,43,Canada,CAN,21
2026-M003-CAN-BIH_CAN_11,17,1,2,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,10,10,0,CAN_liam_millar,Liam MILLAR,11,43,Canada,CAN,31
2026-M003-CAN-BIH_CAN_12,34,12,2,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,8,0,CAN_tani_oluwaseyi,Tani OLUWASEYI,12,43,Canada,CAN,48
2026-M003-CAN-BIH_CAN_13,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,1,0,CAN_derek_cornelius,Derek CORNELIUS,13,43,Canada,CAN,1
2026-M003-CAN-BIH_CAN_17,10,2,2,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,3,4,0,CAN_tajon_buchanan,Tajon BUCHANAN,17,43,Canada,CAN,18
2026-M003-CAN-BIH_CAN_22,17,3,2,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,7,9,1,CAN_richie_laryea,Richie LARYEA,22,43,Canada,CAN,33
2026-M003-CAN-BIH_CAN_09,5,0,0,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,0,0,CAN_cyle_larin,Cyle LARIN,9,43,Canada,CAN,8
2026-M003-CAN-BIH_CAN_14,9,1,2,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,6,5,0,CAN_jacob_shaffelburg,Jacob SHAFFELBURG,14,43,Canada,CAN,18
2026-M003-CAN-BIH_CAN_20,5,4,1,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,6,7,0,CAN_ali_ahmed,Ali AHMED,20,43,Canada,CAN,17
2026-M003-CAN-BIH_CAN_21,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,2,2,0,CAN_jonathan_osorio,Jonathan OSORIO,21,43,Canada,CAN,2
2026-M003-CAN-BIH_CAN_24,1,1,1,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,1,1,CAN_promise_david,Promise DAVID,24,43,Canada,CAN,4
2026-M003-CAN-BIH_BIH_01,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,3,3,0,BIH_nikola_vasilj,Nikola VASILJ,1,45,Bosnia and Herzegovina,BIH,3
2026-M003-CAN-BIH_BIH_04,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,1,1,0,BIH_tarik_muharemovic,Tarik MUHAREMOVIC,4,45,Bosnia and Herzegovina,BIH,1
2026-M003-CAN-BIH_BIH_05,1,0,4,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,5,1,BIH_sead_kolasinac,Sead KOLASINAC,5,45,Bosnia and Herzegovina,BIH,6
2026-M003-CAN-BIH_BIH_06,0,8,10,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,1,10,0,BIH_benjamin_tahirovic,Benjamin TAHIROVIC,6,45,Bosnia and Herzegovina,BIH,21
2026-M003-CAN-BIH_BIH_07,0,1,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,0,0,BIH_amar_dedic,Amar DEDIC,7,45,Bosnia and Herzegovina,BIH,1
2026-M003-CAN-BIH_BIH_10,5,2,1,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,1,0,1,BIH_ermedin_demirovic,Ermedin DEMIROVIC,10,45,Bosnia and Herzegovina,BIH,11
2026-M003-CAN-BIH_BIH_13,0,1,8,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,4,0,BIH_ivan_basic,Ivan BASIC,13,45,Bosnia and Herzegovina,BIH,9
2026-M003-CAN-BIH_BIH_15,8,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,1,1,1,BIH_amar_memic,Amar MEMIC,15,45,Bosnia and Herzegovina,BIH,10
2026-M003-CAN-BIH_BIH_18,0,0,1,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,1,2,0,BIH_nikola_katic,Nikola KATIC,18,45,Bosnia and Herzegovina,BIH,2
2026-M003-CAN-BIH_BIH_20,9,6,1,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,6,7,1,BIH_esmir_bajraktarevic,Esmir BAJRAKTAREVIC,20,45,Bosnia and Herzegovina,BIH,23
2026-M003-CAN-BIH_BIH_25,2,3,0,4,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,2,0,BIH_jovo_lukic,Jovo LUKIC,25,45,Bosnia and Herzegovina,BIH,9
2026-M003-CAN-BIH_BIH_08,0,4,7,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,6,0,BIH_armin_gigovic,Armin GIGOVIC,8,45,Bosnia and Herzegovina,BIH,12
2026-M003-CAN-BIH_BIH_09,1,0,0,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,1,0,0,BIH_samed_bazdar,Samed BAZDAR,9,45,Bosnia and Herzegovina,BIH,3
2026-M003-CAN-BIH_BIH_14,0,2,6,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,3,0,BIH_ivan_sunjic,Ivan SUNJIC,14,45,Bosnia and Herzegovina,BIH,8
2026-M003-CAN-BIH_BIH_17,0,0,1,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,1,1,0,BIH_dzenis_burnic,Dzenis BURNIC,17,45,Bosnia and Herzegovina,BIH,2
2026-M003-CAN-BIH_BIH_19,1,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,3,2,1,BIH_kerim_alajbegovic,Kerim ALAJBEGOVIC,19,45,Bosnia and Herzegovina,BIH,5
2026-M004-USA-PAR_USA_24,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,4,2,0,USA_matt_freese,Matt FREESE,24,43,USA,USA,4
2026-M004-USA-PAR_USA_02,20,5,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,9,11,1,USA_sergino_dest,Sergino DEST,2,43,USA,USA,35
2026-M004-USA-PAR_USA_03,2,0,1,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,12,6,0,USA_chris_richards,Chris RICHARDS,3,43,USA,USA,15
2026-M004-USA-PAR_USA_04,1,5,21,2,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,12,13,1,USA_tyler_adams,Tyler ADAMS,4,43,USA,USA,42
2026-M004-USA-PAR_USA_05,16,2,7,1,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,21,22,0,USA_antonee_robinson,Antonee ROBINSON,5,43,USA,USA,47
2026-M004-USA-PAR_USA_08,22,20,7,4,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,8,25,6,USA_weston_mckennie,Weston McKENNIE,8,43,USA,USA,67
2026-M004-USA-PAR_USA_10,12,8,12,2,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,11,19,1,USA_christian_pulisic,Christian PULISIC,10,43,USA,USA,46
2026-M004-USA-PAR_USA_13,0,0,1,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,5,6,0,USA_tim_ream,Tim REAM,13,43,USA,USA,6
2026-M004-USA-PAR_USA_16,2,1,6,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,21,15,0,USA_alex_freeman,Alex FREEMAN,16,43,USA,USA,30
2026-M004-USA-PAR_USA_17,7,20,14,2,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,5,10,7,USA_malik_tillman,Malik TILLMAN,17,43,USA,USA,55
2026-M004-USA-PAR_USA_20,22,25,1,3,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,5,11,0,USA_folarin_balogun,Folarin BALOGUN,20,43,USA,USA,56
2026-M004-USA-PAR_USA_07,1,6,3,1,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,2,5,0,USA_giovanni_reyna,Giovanni REYNA,7,43,USA,USA,13
2026-M004-USA-PAR_USA_09,9,4,0,1,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,1,1,0,USA_ricardo_pepi,Ricardo PEPI,9,43,USA,USA,15
2026-M004-USA-PAR_USA_14,2,13,11,2,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,3,9,0,USA_sebastian_berhalter,Sebastian BERHALTER,14,43,USA,USA,31
2026-M004-USA-PAR_USA_21,2,1,2,2,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,2,5,0,USA_timothy_weah,Timothy WEAH,21,43,USA,USA,9
2026-M004-USA-PAR_PAR_12,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,7,0,0,PAR_orlando_gill,Orlando GILL,12,45,Paraguay,PAR,7
2026-M004-USA-PAR_PAR_03,1,0,1,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,4,3,0,PAR_omar_alderete,Omar ALDERETE,3,45,Paraguay,PAR,6
2026-M004-USA-PAR_PAR_04,2,1,3,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,6,8,0,PAR_juan_jose_caceres,Juan Jose CACERES,4,45,Paraguay,PAR,12
2026-M004-USA-PAR_PAR_06,0,1,5,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,9,5,0,PAR_junior_alonso,Junior ALONSO,6,45,Paraguay,PAR,15
2026-M004-USA-PAR_PAR_08,1,11,13,2,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,3,14,2,PAR_diego_gomez,Diego GOMEZ,8,45,Paraguay,PAR,32
2026-M004-USA-PAR_PAR_09,3,2,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,0,0,PAR_antonio_sanabria,Antonio SANABRIA,9,45,Paraguay,PAR,5
2026-M004-USA-PAR_PAR_10,4,4,7,1,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,8,10,1,PAR_miguel_almiron,Miguel ALMIRON,10,45,Paraguay,PAR,25
2026-M004-USA-PAR_PAR_14,0,2,8,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,1,5,0,PAR_andres_cubas,Andres CUBAS,14,45,Paraguay,PAR,11
2026-M004-USA-PAR_PAR_15,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,3,1,0,PAR_gustavo_gomez,Gustavo GOMEZ,15,45,Paraguay,PAR,3
2026-M004-USA-PAR_PAR_16,2,2,10,1,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,3,0,PAR_damian_bobadilla,Damian BOBADILLA,16,45,Paraguay,PAR,15
2026-M004-USA-PAR_PAR_19,15,7,4,3,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,5,13,1,PAR_julio_enciso,Julio ENCISO,19,45,Paraguay,PAR,35
2026-M004-USA-PAR_PAR_02,1,0,2,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,1,0,PAR_gustavo_velazquez,Gustavo VELAZQUEZ,2,45,Paraguay,PAR,3
2026-M004-USA-PAR_PAR_07,1,2,2,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,1,0,PAR_ramon_sosa,Ramon SOSA,7,45,Paraguay,PAR,5
2026-M004-USA-PAR_PAR_11,3,3,6,3,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,4,6,1,PAR_mauricio,MAURICIO,11,45,Paraguay,PAR,20
2026-M004-USA-PAR_PAR_17,0,1,3,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,2,2,0,PAR_alejandro_romero_gamarra,Alejandro ROMERO GAMARRA,17,45,Paraguay,PAR,6
2026-M004-USA-PAR_PAR_18,2,1,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,1,1,PAR_alex_arce,Alex ARCE,18,45,Paraguay,PAR,4
2026-M005-HAI-SCO_HAI_01,0,0,0,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,4,3,0,HAI_johny_placide,Johny PLACIDE,1,43,Haiti,HAI,4
2026-M005-HAI-SCO_HAI_02,3,6,1,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,6,6,0,HAI_carlens_arcus,Carlens ARCUS,2,43,Haiti,HAI,16
2026-M005-HAI-SCO_HAI_04,1,0,0,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,3,2,0,HAI_ricardo_ade,Ricardo ADE,4,43,Haiti,HAI,4
2026-M005-HAI-SCO_HAI_05,0,0,1,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,5,4,0,HAI_hannes_delcroix,Hannes DELCROIX,5,43,Haiti,HAI,6
2026-M005-HAI-SCO_HAI_08,20,2,9,2,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,13,16,0,HAI_martin_experience,Martin EXPERIENCE,8,43,Haiti,HAI,46
2026-M005-HAI-SCO_HAI_10,4,8,12,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,9,16,0,HAI_jean_ricner_bellegarde,Jean-Ricner BELLEGARDE,10,43,Haiti,HAI,33
2026-M005-HAI-SCO_HAI_11,13,2,5,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,5,10,0,HAI_louicius_deedson,Louicius DEEDSON,11,43,Haiti,HAI,25
