match_id,match_team_id,metric,raw,team,team_id,unit,value
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Forced Turnovers,50,Canada,CAN,,50
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Forced Turnovers,51,Bosnia and Herzegovina,BIH,,51
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Second Balls,94,Canada,CAN,,94
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Second Balls,79,Bosnia and Herzegovina,BIH,,79
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Total Distance Covered,111.3 km,Canada,CAN,km,111.3
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Total Distance Covered,109.5 km,Bosnia and Herzegovina,BIH,km,109.5
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Zone 4 - Low Speed Sprinting: 20-25 km/h,5.8 km,Canada,CAN,km,5.8
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Zone 4 - Low Speed Sprinting: 20-25 km/h,5.2 km,Bosnia and Herzegovina,BIH,km,5.2
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Possession,59.5%,USA,USA,%,59.5
2026-M004-USA-PAR,,Possession,11.8%,contest,CONTEST,%,11.8
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Possession,28.7%,Paraguay,PAR,%,28.7
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Goals,4,USA,USA,,4
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Goals,1,Paraguay,PAR,,1
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,xG (Expected Goals),1.88,USA,USA,,1.88
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,xG (Expected Goals),0.6,Paraguay,PAR,,0.6
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Attempts at Goal (On Target),16 (6),USA,USA,,16 (6)
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Attempts at Goal (On Target),9 (1),Paraguay,PAR,,9 (1)
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Total Passes (Complete),602 (520),USA,USA,,602 (520)
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Total Passes (Complete),316 (234),Paraguay,PAR,,316 (234)
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Pass Completion %,86%,USA,USA,%,86.0
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Pass Completion %,74%,Paraguay,PAR,%,74.0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Completed Line Breaks,129,USA,USA,,129
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Completed Line Breaks,53,Paraguay,PAR,,53
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Defensive Line Breaks,25,USA,USA,,25
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Defensive Line Breaks,3,Paraguay,PAR,,3
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Receptions in the Final Third,201,USA,USA,,201
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Receptions in the Final Third,31,Paraguay,PAR,,31
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Crosses,23,USA,USA,,23
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Crosses,5,Paraguay,PAR,,5
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Ball Progressions,52,USA,USA,,52
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Ball Progressions,17,Paraguay,PAR,,17
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Defensive Pressures Applied (Direct Pressures),204 (39),USA,USA,,204 (39)
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Defensive Pressures Applied (Direct Pressures),360 (75),Paraguay,PAR,,360 (75)
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Forced Turnovers,50,USA,USA,,50
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Forced Turnovers,49,Paraguay,PAR,,49
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Second Balls,101,USA,USA,,101
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Second Balls,55,Paraguay,PAR,,55
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Total Distance Covered,119.9 km,USA,USA,km,119.9
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Total Distance Covered,114.3 km,Paraguay,PAR,km,114.3
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,Zone 4 - Low Speed Sprinting: 20-25 km/h,6.2 km,USA,USA,km,6.2
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,Zone 4 - Low Speed Sprinting: 20-25 km/h,6.1 km,Paraguay,PAR,km,6.1
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Possession,51.6%,Haiti,HAI,%,51.6
2026-M005-HAI-SCO,,Possession,7.9%,contest,CONTEST,%,7.9
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Possession,40.5%,Scotland,SCO,%,40.5
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Goals,0,Haiti,HAI,,0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Goals,1,Scotland,SCO,,1
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,xG (Expected Goals),0.7,Haiti,HAI,,0.7
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,xG (Expected Goals),0.91,Scotland,SCO,,0.91
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Attempts at Goal (On Target),15 (2),Haiti,HAI,,15 (2)
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Attempts at Goal (On Target),9 (2),Scotland,SCO,,9 (2)
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Total Passes (Complete),431 (378),Haiti,HAI,,431 (378)
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Total Passes (Complete),397 (324),Scotland,SCO,,397 (324)
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Pass Completion %,88%,Haiti,HAI,%,88.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Pass Completion %,82%,Scotland,SCO,%,82.0
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Completed Line Breaks,84,Haiti,HAI,,84
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Completed Line Breaks,86,Scotland,SCO,,86
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Defensive Line Breaks,4,Haiti,HAI,,4
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Defensive Line Breaks,6,Scotland,SCO,,6
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Receptions in the Final Third,116,Haiti,HAI,,116
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Receptions in the Final Third,77,Scotland,SCO,,77
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Crosses,26,Haiti,HAI,,26
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Crosses,16,Scotland,SCO,,16
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Ball Progressions,24,Haiti,HAI,,24
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Ball Progressions,21,Scotland,SCO,,21
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Defensive Pressures Applied (Direct Pressures),185 (35),Haiti,HAI,,185 (35)
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Defensive Pressures Applied (Direct Pressures),230 (39),Scotland,SCO,,230 (39)
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Forced Turnovers,29,Haiti,HAI,,29
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Forced Turnovers,35,Scotland,SCO,,35
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Second Balls,53,Haiti,HAI,,53
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Second Balls,52,Scotland,SCO,,52
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Total Distance Covered,113.7 km,Haiti,HAI,km,113.7
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Total Distance Covered,117.6 km,Scotland,SCO,km,117.6
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Zone 4 - Low Speed Sprinting: 20-25 km/h,5.9 km,Haiti,HAI,km,5.9
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Zone 4 - Low Speed Sprinting: 20-25 km/h,5.9 km,Scotland,SCO,km,5.9
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Possession,27%,Australia,AUS,%,27.0
2026-M006-AUS-TUR,,Possession,10.1%,contest,CONTEST,%,10.1
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Possession,62.9%,Türkiye,TUR,%,62.9
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Goals,2,Australia,AUS,,2
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Goals,0,Türkiye,TUR,,0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,xG (Expected Goals),0.99,Australia,AUS,,0.99
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,xG (Expected Goals),1.66,Türkiye,TUR,,1.66
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Attempts at Goal (On Target),9 (4),Australia,AUS,,9 (4)
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Attempts at Goal (On Target),30 (7),Türkiye,TUR,,30 (7)
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Total Passes (Complete),293 (224),Australia,AUS,,293 (224)
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Total Passes (Complete),722 (663),Türkiye,TUR,,722 (663)
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Pass Completion %,76%,Australia,AUS,%,76.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Pass Completion %,92%,Türkiye,TUR,%,92.0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Completed Line Breaks,56,Australia,AUS,,56
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Completed Line Breaks,132,Türkiye,TUR,,132
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Defensive Line Breaks,10,Australia,AUS,,10
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Defensive Line Breaks,15,Türkiye,TUR,,15
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Receptions in the Final Third,68,Australia,AUS,,68
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Receptions in the Final Third,348,Türkiye,TUR,,348
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Crosses,14,Australia,AUS,,14
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Crosses,28,Türkiye,TUR,,28
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Ball Progressions,22,Australia,AUS,,22
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Ball Progressions,38,Türkiye,TUR,,38
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Defensive Pressures Applied (Direct Pressures),384 (57),Australia,AUS,,384 (57)
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Defensive Pressures Applied (Direct Pressures),170 (31),Türkiye,TUR,,170 (31)
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Forced Turnovers,35,Australia,AUS,,35
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Forced Turnovers,30,Türkiye,TUR,,30
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Second Balls,62,Australia,AUS,,62
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Second Balls,87,Türkiye,TUR,,87
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Total Distance Covered,116.6 km,Australia,AUS,km,116.6
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Total Distance Covered,112.5 km,Türkiye,TUR,km,112.5
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Zone 4 - Low Speed Sprinting: 20-25 km/h,5.6 km,Australia,AUS,km,5.6
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,Zone 4 - Low Speed Sprinting: 20-25 km/h,5.1 km,Türkiye,TUR,km,5.1
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Possession,46.7%,Brazil,BRA,%,46.7
2026-M007-BRA-MAR,,Possession,8.1%,contest,CONTEST,%,8.1
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Possession,45.2%,Morocco,MAR,%,45.2
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Goals,1,Brazil,BRA,,1
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Goals,1,Morocco,MAR,,1
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,xG (Expected Goals),0.99,Brazil,BRA,,0.99
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,xG (Expected Goals),1.33,Morocco,MAR,,1.33
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Attempts at Goal (On Target),12 (5),Brazil,BRA,,12 (5)
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Attempts at Goal (On Target),14 (3),Morocco,MAR,,14 (3)
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Total Passes (Complete),514 (457),Brazil,BRA,,514 (457)
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Total Passes (Complete),503 (431),Morocco,MAR,,503 (431)
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Pass Completion %,89%,Brazil,BRA,%,89.0
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Pass Completion %,86%,Morocco,MAR,%,86.0
