appearance_id,direction_around,direction_over,direction_through,distribution_ball_progression,distribution_cross,distribution_pass,four_units_attacking_line,four_units_attacking_midfield_line,four_units_defensive_line,four_units_midfield_line,line_break_completion_pct,line_breaks_attempted,line_breaks_completed,match_id,match_team_id,player_id,player_name,shirt_number,team,team_id,three_units_attacking_line,three_units_defensive_line,three_units_midfield_line,topic,two_units_defensive_line,two_units_midfield_line
2026-M003-CAN-BIH_BIH_01,1,20,0,0,0,21,1,0,0,1,24%,21,5,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_nikola_vasilj,Nikola VASILJ,1,Bosnia and Herzegovina,BIH,5,0,8,line_breaks,0,6
2026-M003-CAN-BIH_BIH_04,0,8,1,0,0,9,0,0,0,0,67%,9,6,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_tarik_muharemovic,Tarik MUHAREMOVIC,4,Bosnia and Herzegovina,BIH,2,0,3,line_breaks,0,4
2026-M003-CAN-BIH_BIH_05,4,7,1,0,0,12,0,0,0,1,83%,12,10,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_sead_kolasinac,Sead KOLASINAC,5,Bosnia and Herzegovina,BIH,5,2,2,line_breaks,0,2
2026-M003-CAN-BIH_BIH_06,2,3,3,0,0,8,0,0,0,1,38%,8,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_benjamin_tahirovic,Benjamin TAHIROVIC,6,Bosnia and Herzegovina,BIH,1,1,3,line_breaks,0,2
2026-M003-CAN-BIH_BIH_07,1,11,2,1,0,13,0,0,0,1,71%,14,10,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_amar_dedic,Amar DEDIC,7,Bosnia and Herzegovina,BIH,7,0,1,line_breaks,0,5
2026-M003-CAN-BIH_BIH_10,1,1,1,0,0,3,0,0,0,0,67%,3,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_ermedin_demirovic,Ermedin DEMIROVIC,10,Bosnia and Herzegovina,BIH,0,2,1,line_breaks,0,0
2026-M003-CAN-BIH_BIH_13,1,8,3,0,3,9,0,0,0,0,83%,12,10,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_ivan_basic,Ivan BASIC,13,Bosnia and Herzegovina,BIH,0,1,4,line_breaks,1,6
2026-M003-CAN-BIH_BIH_15,1,2,0,1,0,2,0,0,0,0,0%,3,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_amar_memic,Amar MEMIC,15,Bosnia and Herzegovina,BIH,0,2,1,line_breaks,0,0
2026-M003-CAN-BIH_BIH_18,2,5,2,0,0,9,0,0,0,0,56%,9,5,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_nikola_katic,Nikola KATIC,18,Bosnia and Herzegovina,BIH,4,1,3,line_breaks,0,1
2026-M003-CAN-BIH_BIH_20,1,2,1,2,0,2,0,0,0,0,0%,4,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_esmir_bajraktarevic,Esmir BAJRAKTAREVIC,20,Bosnia and Herzegovina,BIH,2,0,2,line_breaks,0,0
2026-M003-CAN-BIH_BIH_25,1,0,1,1,0,1,0,0,0,0,0%,2,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_jovo_lukic,Jovo LUKIC,25,Bosnia and Herzegovina,BIH,0,1,1,line_breaks,0,0
2026-M003-CAN-BIH_BIH_08,0,3,3,1,0,5,0,0,0,0,67%,6,4,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_armin_gigovic,Armin GIGOVIC,8,Bosnia and Herzegovina,BIH,0,0,5,line_breaks,0,1
2026-M003-CAN-BIH_BIH_09,2,0,1,2,0,1,0,0,0,0,0%,3,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_samed_bazdar,Samed BAZDAR,9,Bosnia and Herzegovina,BIH,0,3,0,line_breaks,0,0
2026-M003-CAN-BIH_BIH_14,0,2,3,1,0,4,0,0,0,0,60%,5,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_ivan_sunjic,Ivan SUNJIC,14,Bosnia and Herzegovina,BIH,0,0,1,line_breaks,0,4
2026-M003-CAN-BIH_BIH_17,1,2,0,0,0,3,0,0,0,0,67%,3,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_dzenis_burnic,Dzenis BURNIC,17,Bosnia and Herzegovina,BIH,0,0,2,line_breaks,0,1
2026-M003-CAN-BIH_BIH_19,0,1,0,0,0,1,0,0,0,0,100%,1,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_kerim_alajbegovic,Kerim ALAJBEGOVIC,19,Bosnia and Herzegovina,BIH,0,1,0,line_breaks,0,0
2026-M004-USA-PAR_USA_24,0,9,0,0,0,9,1,0,0,0,22%,9,2,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_matt_freese,Matt FREESE,24,USA,USA,3,0,5,line_breaks,0,0
2026-M004-USA-PAR_USA_02,6,2,1,3,1,5,0,0,0,0,78%,9,7,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_sergino_dest,Sergino DEST,2,USA,USA,0,3,0,line_breaks,5,1
2026-M004-USA-PAR_USA_03,4,1,3,0,0,8,0,0,0,0,100%,8,8,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_chris_richards,Chris RICHARDS,3,USA,USA,4,0,0,line_breaks,0,4
2026-M004-USA-PAR_USA_04,11,6,3,0,0,20,0,1,0,0,85%,20,17,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_tyler_adams,Tyler ADAMS,4,USA,USA,10,0,2,line_breaks,0,7
2026-M004-USA-PAR_USA_05,7,11,1,1,2,16,1,0,0,1,63%,19,12,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_antonee_robinson,Antonee ROBINSON,5,USA,USA,1,6,6,line_breaks,0,4
2026-M004-USA-PAR_USA_08,4,3,3,0,0,10,0,0,0,0,90%,10,9,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_weston_mckennie,Weston McKENNIE,8,USA,USA,0,3,3,line_breaks,1,3
2026-M004-USA-PAR_USA_10,3,1,2,3,0,3,0,0,0,0,50%,6,3,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_christian_pulisic,Christian PULISIC,10,USA,USA,0,2,1,line_breaks,1,2
2026-M004-USA-PAR_USA_13,18,9,6,0,0,33,1,0,1,0,88%,33,29,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_tim_ream,Tim REAM,13,USA,USA,10,1,9,line_breaks,1,10
2026-M004-USA-PAR_USA_16,17,5,5,4,0,23,0,0,0,0,85%,27,23,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,USA_alex_freeman,Alex FREEMAN,16,USA,USA,11,0,5,line_breaks,3,8
