appearance_id,appeared,goal_minutes,is_starter,match_id,match_team_id,own_goal_minutes,player_id,player_name,position,red_card_minutes,shirt_number,status,subbed_off_minutes,subbed_on_minutes,team,team_id,team_role,yellow_card_minutes
2026-M002-KOR-CZE_CZE_21,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_david_doudera,David DOUDERA,DF,,21,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_25,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_hugo_sochurek,Hugo SOCHUREK,MF,,25,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_26,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_denis_visinsky,Denis VISINSKY,FW,,26,substitute,,,Czechia,CZE,away,
2026-M003-CAN-BIH_CAN_16,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_maxime_crepeau,Maxime CREPEAU,GK,,16,starting,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_02,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_alistair_johnston,Alistair JOHNSTON,DF,,2,starting,,,Canada,CAN,home,11
2026-M003-CAN-BIH_CAN_04,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_luc_de_fougerolles,Luc DE FOUGEROLLES,DF,,4,starting,,,Canada,CAN,home,53
2026-M003-CAN-BIH_CAN_07,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_stephen_eustaquio,Stephen EUSTAQUIO,MF,,7,starting,91,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_08,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_ismael_kone,Ismael KONE,MF,,8,starting,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_10,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_jonathan_david,Jonathan DAVID,FW,,10,starting,61,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_11,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_liam_millar,Liam MILLAR,MF,,11,starting,61,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_12,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_tani_oluwaseyi,Tani OLUWASEYI,FW,,12,starting,76,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_13,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_derek_cornelius,Derek CORNELIUS,DF,,13,starting,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_17,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_tajon_buchanan,Tajon BUCHANAN,FW,,17,starting,61,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_22,True,,True,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_richie_laryea,Richie LARYEA,DF,,22,starting,,,Canada,CAN,home,
